,AARTIIND.NS,ADANIENT.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.48577222395034986,0.7028243454206587,0.7488798068110781,0.8388097082929898,0.6462200935624058,0.6520897590170106,0.5893060148663348,0.7022028685740173,0.3311598122859133,0.4463109700783906,0.5951720062665476,0.5656657343777458,0.4601901866561925,0.6019637392467303,0.47479458497253,0.3995142634543658,0.612201166758467,0.6346632017427419,0.6608333125571481,0.6217671265091309,0.607067480632791,0.6427055584249539,0.49037582614360675,0.6143657265316981,0.7021248343170171,0.4659863371904904,0.795489600936787,0.5313647377354916,0.727488965649132,0.6177673431891728,0.7641765400995488,0.6407045766919339,0.6073324445392199,0.674837952672415,0.6410794752218221,0.6431281446207276,0.7198783224936286,0.7502734460218777,0.8568223291923291,0.6357545489052463,0.504995846037154,0.6345853993887701,0.5936150787038674,0.5043016091226176,0.4336426965985981,0.8772762190531831,0.6797273218353693,0.7206878562878787,0.560083285025463,0.5520674719762434,0.7116463470209897,0.5607982694182915,0.6758035235694445,0.6441951548185618,0.6528229315647527,0.5837444848316269,0.7495386548889172,0.8691305326628832,-0.7417252981286041,0.6461987950280588,0.7462754463855293,0.7116118037914192,0.6918467351548727,0.574438073237782,0.7969773324372837,0.638046425150807,0.3265369632847488,0.5688355904050211,0.6764123761615541,0.6571788836484139,0.6332938627535569,0.5001349916364439,0.5463950079305955,0.607590558408544,0.8243548059541502,0.5906690766797954,0.7364421990400631,0.5465443253297712,0.4568306860431859,0.7449265367572019,0.7325658517777074,0.5800803097221596,0.5540383170620595,0.7035542670726782,0.3228355664335573,0.6319377250244677,0.4980342668465608,0.46692638380504,0.6366399889594552,0.6363744307491805,0.7282128283401179,0.705308962421725,0.9444262801979797,0.5979773071549331,0.5425721993470767,0.4459016228359142,0.6675583240943702
ADANIENT.NS,0.4857722239503499,1.0,0.7435522562805874,0.7361465273570875,0.5835937578008891,0.6614470636327158,0.6897698157056072,0.7189985750974796,0.7202008450199909,0.4904831681819558,0.4522670648768746,0.5985549228742525,0.5775720947762943,0.6287763406385539,0.45636849227981097,0.511498354148481,0.5478914880708453,0.6218973759863269,0.5820043378668427,0.597166644604883,0.564154722949619,0.6423376252350498,0.7715807769115215,0.6309687797805005,0.6682807191583718,0.6626343928716982,0.7064447554751974,0.7014957907875067,0.5430133076209379,0.7011156287944791,0.44546580532811175,0.8014529916119842,0.5395763876899092,0.6988223973715625,0.7776216609921506,0.7446118796196407,0.6320686728839483,0.6516548634804724,0.7110495749355046,0.7650816130073134,0.8939635411506157,0.527246445030851,0.6559799225362025,0.6789807675615381,0.42128169144033906,0.5915858629727043,0.6382071732772342,0.6168128010813834,0.7026487920619592,0.5134785603448826,0.44867004154682194,0.6669031279674572,0.6567279909123068,0.653385220705317,0.6479468047557418,0.8333478250620522,0.7867838961568286,0.6332034273925852,0.32289378966652527,-0.7525976997357969,0.7246798215712932,0.8043158935493772,0.8830925614891122,0.7323816652481688,0.6145941993784817,0.6240622129716483,0.7136379666953796,0.18116953387830062,0.35108502006615566,0.7815867005630668,0.5722701783553892,0.6228339891942368,0.4911738068617744,0.7333064416773319,0.8620994894422098,0.620061137273657,0.6478316704405235,0.5578433538618255,0.5295662375065636,0.6490353311589379,0.6548778789694699,0.7141896460263849,0.6216575937906021,0.5913758450215528,0.5340827007589556,0.3201192325307881,0.7868810743718678,0.5459322973999625,0.9079500092185024,0.7994183803922554,0.6854457551544336,0.5381711762490028,0.6427553361945777,0.5415094919158798,0.7226437868682547,0.7488961969259273,0.36211472239839854,0.6182092876741718
APOLLOTYRE.NS,0.7028243454206587,0.7435522562805874,1.0,0.9565192802994076,0.799246700584777,0.8308422250549857,0.8839468931777218,0.8582474322192029,0.9467391125177702,0.6763570869248837,0.6792627107053325,0.8314143736211688,0.7479233300787891,0.8162575659026595,0.6465997364458425,0.6639888818767298,0.7116730388552951,0.7401945683571893,0.6827194085792577,0.7469393452297148,0.7692100855007903,0.8874416466790207,0.7199728885312688,0.8350068050983517,0.8835232674662485,0.7711372603380219,0.5396606287311514,0.9095178736941958,0.7417591370863569,0.7917554566041787,0.7425364189378051,0.8628456167416961,0.79409442648224,0.8681108991162916,0.909372954054759,0.9484751559716051,0.8572348844776697,0.8741629798148772,0.8613235400675537,0.8846958283617175,0.7849328179971071,0.7582550750405971,0.7703762450866342,0.8660923408518566,0.677463598158582,0.8140965620854996,0.8869913794582373,0.8877327395592696,0.9011892004922654,0.6975738389432005,0.5110537195552561,0.8480797054015696,0.936317316436214,0.734976396617478,0.8361776496443265,0.8765125148492656,0.651014250378025,0.8337947798655507,0.5326353819845888,-0.9434944727021565,0.849635507348336,0.8367228814859482,0.8439178861517577,0.945949285488936,0.7904393301871774,0.8987266868675662,0.9431530478558843,0.33135485135388126,0.513411396981619,0.9045173370050399,0.8228383630369465,0.7860921925391822,0.6302644971089262,0.8152510793188008,0.8780674625532514,0.8423692494701823,0.9284845881315202,0.8413872978239345,0.6968236173798155,0.7625945263980036,0.8185637724514411,0.8866867135617162,0.8896850756758451,0.711101981247514,0.6583819878229242,0.577725688235783,0.8058739231243792,0.6954360144907273,0.6831819235557286,0.8858288082821018,0.8671355787152901,0.7743390737157921,0.8805048870792848,0.725153101807267,0.837307669704984,0.8763479431113375,0.6079808941492075,0.7401118847572805
ASHOKLEY.NS,0.7488798068110781,0.7361465273570876,0.9565192802994075,1.0,0.8050331932613488,0.8211149717756934,0.8443039292210992,0.887801253243237,0.9298124826674208,0.7221406023114337,0.6127965542643906,0.8086375241983841,0.7925094772145438,0.8320957964562379,0.6746882916298033,0.6180715312848296,0.6426475983496523,0.7143917295387826,0.6582754193602658,0.7901981560280692,0.7500813061550555,0.8627688857728367,0.7122279942674699,0.7949214317031619,0.9381102651700223,0.7403276058267918,0.5829524279459912,0.9099771502344874,0.7290057979449699,0.7787473562885442,0.7718002854666767,0.8446295604407228,0.7402731912602788,0.7956116921204678,0.8924689321628608,0.9202810141246787,0.8509978504895066,0.8365548507866869,0.8544445805885174,0.8975747248047271,0.7609084956294605,0.7184279347774343,0.78498493130131,0.815799501369673,0.5956710327591401,0.8063857110025462,0.8885722595810676,0.8826878529004373,0.8712900875300286,0.7652880063895011,0.5547934496343048,0.8945796902733184,0.8816199129744866,0.7392911133149692,0.8115126719947736,0.909719151683948,0.6156150171946053,0.788656574384997,0.520194052111352,-0.9313172752863114,0.7656079403239615,0.8689702598115071,0.8210314983285895,0.9292699867603746,0.7603468031436421,0.8851644486929476,0.9303362861199986,0.4168407981106974,0.48409883204534204,0.8728798033369454,0.8357612429905527,0.8470907747040751,0.6200253522704788,0.8033548665272303,0.8987005455318167,0.8017343785566194,0.9077434423889931,0.851652062148191,0.7872591301130171,0.741180315735307,0.8576063822899995,0.889692213169073,0.8898865084085403,0.8106777546106468,0.6900053655734422,0.5309896635356665,0.8585082503054705,0.6139132363760894,0.6605613779090851,0.8608970196927588,0.8498317226550269,0.7347022943603939,0.8400218043060188,0.7365986796071131,0.8813738551909793,0.8210877493166562,0.5134834338384318,0.6708345168195713
ASIANPAINT.NS,0.8388097082929898,0.5835937578008891,0.799246700584777,0.8050331932613488,1.0,0.7144878320584152,0.7457479466844839,0.728389172400166,0.7648232608805235,0.42719100868182563,0.5393345899703225,0.6478379996098311,0.6716651869558646,0.5333902488913674,0.5833012195799848,0.664109683798107,0.5550417082757358,0.6709120814178621,0.9016177782503707,0.6720566267419901,0.6563417636214696,0.7137729858874176,0.7592340092487635,0.6400922851983937,0.6593106259165621,0.747962509769732,0.5074861449987778,0.8317905606768763,0.5879214254274291,0.8569317973618455,0.6904544660678911,0.9002451214433338,0.753086459390454,0.6963611426286413,0.8118419918631575,0.7565111291640105,0.7235809404105792,0.7558166868626027,0.8692072188415783,0.86392676677343,0.6408651207313565,0.5676349355998381,0.7526983860379824,0.7173320182253494,0.5705625953541722,0.571660758084972,0.8441999130246048,0.7701950009801906,0.908696162993127,0.5785705266862486,0.5108862272869905,0.7745720519257677,0.6709735173314544,0.7499226026248907,0.7781774918001586,0.7651354486160193,0.7452487313536454,0.7218647669666165,0.7687812461034074,-0.8426941672999028,0.7625915456151496,0.8198589655374162,0.7225180928317013,0.7942027682573368,0.6782048653940792,0.8464050019283192,0.7768982962945448,0.3292333691927548,0.822008152211441,0.8622518892345449,0.7291081388137639,0.6785096954748394,0.5901914171849133,0.6417583601731884,0.7163026189724591,0.8159324231876038,0.6786536260618857,0.7659038224101594,0.5764619238661378,0.6574011359585579,0.753655714472381,0.7988014930172028,0.6642498769735447,0.5806623425664118,0.6315389121528514,0.38717589030837757,0.7398042713028943,0.5769344156731518,0.5347157101847947,0.7469701936184195,0.7395396989971087,0.7690115654868898,0.7853452344969869,0.8102315813509596,0.7074239061405226,0.7179472047173805,0.46778303186788944,0.7231600973963666
AUROPHARMA.NS,0.6462200935624058,0.6614470636327158,0.8308422250549857,0.8211149717756934,0.7144878320584152,1.0,0.8766298774772976,0.8328359251071685,0.827564767786763,0.4656211361600135,0.48385457345180805,0.7805211795526852,0.7811122370548985,0.6420005518576372,0.7108540556720677,0.544055122169147,0.5445704215798023,0.7100199276911313,0.5636273081597416,0.821808553534716,0.8504794975801797,0.8535526164947276,0.7462918664737412,0.6571307495872776,0.7197165447339969,0.7991079589186061,0.6374789894408013,0.8517711561169575,0.7744197647727731,0.8448682516050604,0.7410912194589204,0.7564182507883951,0.669534573967894,0.7834056836549449,0.8161279456439937,0.8824502775807329,0.8363475263413425,0.8515032610940422,0.7667250860523893,0.844387753778752,0.7741274925028229,0.7847795868147569,0.8566931053977069,0.7584643243212223,0.5986614829453115,0.5559151575784285,0.7651440821444543,0.8311971740975057,0.8428987279304091,0.8043978820379749,0.7888518779759518,0.9147447271585654,0.7591940970790969,0.816302803240939,0.6675017191204632,0.8813193681380277,0.5969780592732032,0.7897563143916464,0.3979450131677383,-0.9096708295881167,0.7553622791698333,0.8615586590886186,0.7930420513693123,0.8451881911262611,0.6484255915260132,0.7707542277524818,0.8594166746975077,0.49938758438884356,0.47960683421377476,0.7731474805403775,0.7256251135469052,0.7243058038485295,0.712917660052551,0.692003851223777,0.8137225089984291,0.833876458863818,0.701425719626847,0.631157413472271,0.6958150423228284,0.5843498267374329,0.9432372465082708,0.7551402210210973,0.6697061071848533,0.6815571902231671,0.8309390487254371,0.5899218198723191,0.8221146373023867,0.7403212131339459,0.6439195161442186,0.8563589942610724,0.8415659800089322,0.6333790112813245,0.8336218534438203,0.6395843459424893,0.8255369452953268,0.7050448223987648,0.5723831981884614,0.721869596851601
AXISBANK.NS,0.6520897590170106,0.6897698157056072,0.8839468931777218,0.8443039292210992,0.7457479466844839,0.8766298774772976,1.0,0.883903925279747,0.8202394260430658,0.4536960981965873,0.6128588037180882,0.7631396016047013,0.7158856503315718,0.5942680696072016,0.6568669246045628,0.6673026491165519,0.6279870267337218,0.6536762657171855,0.6063892594121666,0.8265982828323597,0.7229795508044156,0.85976610745342,0.6469478665616237,0.7127273465468427,0.7202988943485982,0.840518004309377,0.529146371322253,0.9203291106513036,0.7543097319517775,0.7586231258903194,0.6746053979925641,0.8346090907641821,0.6931212611753267,0.7939243466287,0.8173837564635499,0.8751516294926637,0.7825895471508749,0.9463530705867785,0.8048520501043339,0.8263903238585049,0.7243668952346622,0.9201310435773089,0.7644574370569742,0.7793205496058764,0.6212068319086841,0.6932097278332716,0.8593465079946457,0.8051513457407258,0.8567235099521573,0.6724448888095617,0.5348414308221736,0.8092875197577909,0.8295063493785445,0.8109998872077515,0.7057116614444163,0.832894965893188,0.5634337065222745,0.8154564227046015,0.45163269635085357,-0.8904895644758438,0.8672959190964192,0.8406650061487535,0.7915129961385805,0.8924699429709457,0.743125733495594,0.8554319633645779,0.9061747446891129,0.3505076542560762,0.4295122456355187,0.8125622311691244,0.7459498772076449,0.7918396569646717,0.6355371615614813,0.6883100966790865,0.880059968954056,0.8063181342533368,0.7805588689227764,0.684085552548191,0.680357997613585,0.735495795750488,0.8264239008348788,0.7767857788029161,0.6763703140661421,0.6085278472091785,0.6578882432168611,0.4647476215387034,0.7777298089811491,0.6822159146223541,0.6326432294366878,0.8332148631786198,0.7567683023864664,0.6645276727819198,0.9502708073733986,0.6642369408323492,0.8174472882322354,0.7924260635999428,0.5848504878018671,0.8078967351663032
BAJFINANCE.NS,0.5893060148663348,0.7189985750974796,0.8582474322192029,0.8878012532432371,0.728389172400166,0.8328359251071685,0.883903925279747,1.0,0.8568431768283682,0.6308899374165423,0.553052949210985,0.8025348622601071,0.7053479484971868,0.6826601420199802,0.6626158786248274,0.6152510944984119,0.5932247138624054,0.6169283576981707,0.5951592270465502,0.8420315723635391,0.6497504908969658,0.9107974600624168,0.6673787384197127,0.740072056774751,0.8380885782684988,0.7295439163445576,0.4708277453569359,0.8909801514451945,0.7969695671693041,0.7070509524325723,0.812626109682087,0.7824043535166906,0.637071797395257,0.7746793806162442,0.8358617036972235,0.8675473164220247,0.8656389337429808,0.8639093165912237,0.7598277009153844,0.7962209074820996,0.6958598600229072,0.7769437706997012,0.7032996676246127,0.770874492160337,0.5544124868800824,0.7549556981278244,0.8217190994641642,0.8073662413670968,0.8094825912056912,0.7948140209051022,0.4675774358117844,0.8033483656430761,0.7748114562781472,0.6418917431638775,0.6668904005585767,0.866657499618661,0.5340050953504497,0.7431124337520306,0.34745452559806317,-0.8976318115035761,0.6906042680023331,0.7811236247764926,0.7704122813823818,0.9077746669335405,0.774535027975351,0.8600344369554886,0.9375397159993077,0.486896691803792,0.36155996849148975,0.8169394374078297,0.8316496626429599,0.787575867181078,0.7941553238732657,0.6552587285692199,0.9322563705458712,0.7117961645684951,0.8583349813921043,0.6539468471442639,0.7746085062879111,0.8089757194290493,0.8482239501746766,0.7873854775494344,0.753468286465836,0.6423319550346583,0.5937187101099018,0.6126738466083704,0.8796439248922859,0.6017003811968493,0.6838389905093366,0.833990848699573,0.7653754484666251,0.6072621301487034,0.8488038536575744,0.6092051451495433,0.8437002178721551,0.7781907074966489,0.5006511517666388,0.6178962833230844
BATAINDIA.NS,0.7022028685740173,0.7202008450199909,0.9467391125177702,0.9298124826674208,0.7648232608805234,0.827564767786763,0.8202394260430658,0.8568431768283682,1.0,0.6777245871822801,0.6465377223900721,0.8955839412197245,0.8199425679409659,0.8478140439222925,0.7897622819814307,0.5581024120131581,0.5844144685403332,0.7604034995310475,0.6283184600436175,0.7565679079767997,0.6999988372365809,0.8584310628957622,0.7442595696321669,0.7277312964743381,0.8853491472189449,0.7195306252904402,0.5631801691316719,0.9049328051072424,0.7214843739833852,0.8078629250899503,0.7778690512868377,0.8365699898454428,0.7112408030456333,0.8880385295667457,0.8660651034412779,0.9254415212239407,0.9024697281851897,0.8526907945371337,0.8416275510683819,0.874675454637042,0.7826092071567957,0.6881996470370128,0.7855235514487615,0.8305489680391933,0.6159652351221088,0.7381442938290046,0.8804500057950557,0.8396756233722528,0.8754938716380312,0.759772611020114,0.5244313417906021,0.8244400227261219,0.8673566307106405,0.6830247181178015,0.8028899368624588,0.8957235247215829,0.6071996004100465,0.8863862793641676,0.5104350370272338,-0.9497623539631412,0.7390177720833266,0.8192102026680721,0.8042189860609285,0.9517632677870508,0.8081478249323699,0.8571280115795639,0.8893750842824217,0.44444769939266154,0.4743461290601881,0.8674841888502356,0.8768496873165624,0.7564276601865937,0.6705529684196276,0.7858068813426575,0.8767804730213746,0.8725191236420274,0.8753081152021169,0.7776674880267925,0.6794947401559561,0.645217795381742,0.8243496531417631,0.907561048945061,0.8691656503794771,0.7057602475510721,0.6253418805335327,0.6529527220979555,0.8350492693259424,0.6907972201522217,0.6729027465560135,0.8548541943222042,0.8603634226874196,0.7956868047195054,0.8539713797563719,0.7446862592096257,0.8158048721944412,0.7918674689741126,0.6062895629168803,0.6865777780760469
BDL.NS,0.3311598122859133,0.49048316818195575,0.6763570869248837,0.7221406023114338,0.42719100868182563,0.4656211361600135,0.4536960981965873,0.6308899374165423,0.67772458718228,1.0,0.5903590921691518,0.5763823263508249,0.4503419990970567,0.852489756697891,0.36186993097996417,0.244749763977378,0.3248018673744401,0.2711637615057321,0.32572652979784733,0.39958466366555573,0.38670780405866234,0.5950641001934702,0.44436273851303226,0.46635171383079715,0.8783235622357268,0.27475097382648905,0.2563364308758489,0.5556860923895872,0.3970762448356336,0.38763886082061255,0.5697944825215674,0.4509167913659212,0.33287609977111554,0.4974945288900852,0.5099367023509557,0.6097915366609078,0.605473429779877,0.4789938654953249,0.4322961601923931,0.5058620951434977,0.3866993569619589,0.4393393812790801,0.354445024777886,0.4398194927117577,0.2895394208507653,0.8104896490211826,0.5837067854550174,0.5418240646757354,0.46099814850744014,0.5172184552398706,0.24942255778833541,0.5413042928685471,0.7418915659387614,0.31605094514939974,0.5247258255242345,0.5643314526949439,0.24556861385799683,0.45276319933632925,0.11991664927463405,-0.5814658993471032,0.3417877697890369,0.5294386264478069,0.42333042993053194,0.5948718563485578,0.6215825155633612,0.4849393204577013,0.6642066843671256,0.2943788645193635,0.14669560645567417,0.5270980564750554,0.7104843371403807,0.4468321212630979,0.4057623830837318,0.5049483342126716,0.6516578870221654,0.38229564951472317,0.7399607146913781,0.6285769179718995,0.5352953105515699,0.4563681452197632,0.505243280893301,0.5647770148227783,0.8224918544425494,0.6515490569529847,0.3245724297545171,0.5493424847567954,0.6089825773025624,0.23200040237409014,0.3564748319438274,0.5461267448222019,0.5787721305381281,0.3226284052443045,0.5100458040472525,0.34981666625380675,0.5452684288562462,0.5522227467264812,0.16847633765155545,0.1740404074721104
