,AARTIIND.NS,ADANIENT.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAPPSTMNDS.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.6992092367601785,0.7314774754182006,0.8203919140974943,0.8370131230997793,0.7684344100004216,0.8728537752341917,0.9291636664318819,0.8451639478714038,0.8321381527771402,0.7195164897218859,0.8432942060784586,0.7386638412264419,0.8001134765382102,0.7331448620952754,0.7972804583675304,0.6810437265724865,0.7509025562031221,0.7640428330453862,0.825230838916619,0.8790100167252186,0.9046370891930989,0.524307535169571,0.8886479102022855,0.8722446486550642,0.7663632776633644,0.8913648168561804,0.8581832655153587,0.6351113067005272,0.8886889525706959,0.6775623548511926,0.8370762594935047,0.7166488639538929,0.8226213842227698,0.8514576103704331,0.8746841227697774,0.7782679317182187,0.9050402756923979,0.8487003566744388,0.9225114240055983,0.8933798263104142,0.8628121562520829,0.6379988311436539,0.7967990809843136,0.8389068041493192,0.885610427399126,0.4823816333615302,0.8207743671689561,0.8497070061744435,0.5512202097366051,0.5747078580428181,0.7006819078978435,0.8426992669602776,0.8495302533406635,0.8765133863003521,0.8395625523596679,0.7935184633157938,0.8271310539994201,0.6204188767873151,0.8244228031056902,0.7469177151165867,-0.8128105334759732,0.8502997983373108,0.43901759929303347,0.6510974014112003,0.9308466662380183,0.6087938684630193,0.5617848223157366,0.8110712965541983,0.706781380410768,0.8245665432193954,0.5607925583011801,0.7919252258755638,0.2534594114743184,0.49099427001556073,0.8230883535102623,0.8234574396826079,0.8478375000130559,0.7225780043791789,0.8531209912548591,0.8632087059646656,0.5235333538950621,0.9044690252383791,0.7087511966518841,0.8753246436458679,0.8501704282543924,0.897734891781538,0.4937485756982332,0.7986947031440663,0.7267673322134227,0.8399674270743712,0.9046891309965045,0.7377826252401964,0.8668155078770967,0.786950307516685,0.6976468734120147,0.45494977152724536,0.6926059550349415,0.6800896427425099,0.769223189682565
ADANIENT.NS,0.6992092367601785,1.0,0.5722897461178984,0.6261178509013907,0.6826648920320781,0.549781385413075,0.7265046776413375,0.6930264845552033,0.6814155346748836,0.731527761911599,0.507820706250215,0.7523686921049971,0.4402842064009391,0.7455167389384809,0.5510417864723837,0.7153099860868793,0.4912521366235128,0.7391423203576056,0.702113704167631,0.635171108251071,0.5967790966500973,0.6924334993929793,0.39078284883510445,0.7523722907481338,0.6227132973640921,0.5587970234348217,0.5812287210619769,0.6839152079456816,0.4627118005007678,0.8186323238344572,0.7368159625511714,0.680102970752842,0.6456240846033958,0.5783497677769808,0.7028189064711433,0.609464461735638,0.6425340909795924,0.6581353450448821,0.6934293223780448,0.6956147354911456,0.8466711284052284,0.8128621447484828,0.4960553605097087,0.7965622715031112,0.6391389370124866,0.5806596963777315,0.3818550911235274,0.5711398360529708,0.6513692180338535,0.40966077981801385,0.5185580258382093,0.8080668056994122,0.5968731687758134,0.7699411011613724,0.8298357679926119,0.7031579943050716,0.7121326182936897,0.6775654093255793,0.5829313257383749,0.509995369844703,0.5024764193824733,-0.6046783197246847,0.7425835680715639,0.4603660110768675,0.5760016919627043,0.7328398128177134,0.41201846395215963,0.4602027102499877,0.6896048166474507,0.7634652533224153,0.5921398487206629,0.5882354693693078,0.7095884903975281,0.23918358642423931,0.2266655443961617,0.5384861262843166,0.7848804322964743,0.7126936870211491,0.6602614336913833,0.6566931006700033,0.7502069971138702,0.3337808711937572,0.6916295512215833,0.5468340640835102,0.7453464485170784,0.5892404164295416,0.7490099779713429,0.4358283908517479,0.546059755056471,0.6216949529969222,0.697059949395636,0.6802730240403653,0.7617469821934719,0.7378168829863646,0.6313258577202209,0.8698129796848776,0.7070755549974623,0.41511229097195096,0.4699700891584569,0.7590837037187846
APOLLOTYRE.NS,0.7314774754182006,0.5722897461178983,1.0,0.8674421557088056,0.7970228235150213,0.7531352838458193,0.7741573097716721,0.8320624762622197,0.6791906776843061,0.7209409598851588,0.6217958344228864,0.8346142700052956,0.5543018219756929,0.7166987778947849,0.7809119656923418,0.7353802287257635,0.7829570626875118,0.46569939249425746,0.7645860527709234,0.9005415089087678,0.7480722073550693,0.7971641125837373,0.5707519950138261,0.7543446379777965,0.6691103651391016,0.6384222790655705,0.7663249886704682,0.726645552384192,0.7576536125323186,0.7190906886440831,0.5591714894954228,0.5488310033750704,0.6579861434862095,0.5499390369407338,0.7883819771631069,0.7368555546669145,0.7487144736092125,0.7996955476847584,0.8067689372288676,0.8200807820938503,0.7161566779351068,0.7188626684155889,0.4545342245373724,0.6168111837474823,0.8166831550862637,0.6298899037683447,0.3410298653014931,0.670421988181125,0.7134729675977804,0.5626240315627147,0.53462908087138,0.6019092638318434,0.6670815743980651,0.7895160398612548,0.7715553438430962,0.7103471344485957,0.8442535971617912,0.652070968329014,0.6461319655677518,0.7109988041544768,0.6048388321482377,-0.5784764349743874,0.7127025622544454,0.44470161442912814,0.6776541620590316,0.6960510886643995,0.6724557402365304,0.53007066569161,0.7188195369375777,0.4149466833866677,0.5666934652172576,0.5232682366890804,0.7715363660752035,0.46885117598951104,0.44834836961956226,0.7803153927320604,0.8128989394096119,0.8174412295873298,0.6683246601815293,0.7332346955982056,0.8461645379863791,0.7492245044889315,0.7673593512575723,0.6721822827187871,0.7363609322526302,0.5809422687496839,0.762705688439373,0.48208368469043816,0.48554863411625593,0.6541597587801216,0.7291950168540267,0.8551851381360865,0.5419655183337628,0.726754299552434,0.6065708460920022,0.48852069867065534,0.4421037857852215,0.5846236463228618,0.3954073617932427,0.5041017117138885
ASHOKLEY.NS,0.8203919140974943,0.6261178509013907,0.8674421557088056,1.0,0.9051926403599555,0.7564791455500675,0.8506738952270242,0.8727044804948494,0.7749268835989961,0.8071630152073144,0.6496199591231797,0.9016695185481809,0.6670862754924815,0.8599398508386021,0.8666924367542842,0.7195839320777924,0.6100827982946497,0.6191772380430588,0.7355422562516053,0.8838605864276139,0.8390912606058982,0.8292504467446707,0.6323690597462318,0.8274681406822475,0.7634467079229046,0.7144463827302256,0.851267519312686,0.8577939710983777,0.522937317379349,0.8153159412505266,0.631702292412102,0.7758732014411005,0.7186722743125982,0.7162735231978442,0.8840586781657627,0.7936344351403333,0.8290526430988915,0.8323234978334935,0.7912140657996711,0.8546222385457035,0.813879280590069,0.7591510044468696,0.5510484279902423,0.7285498077251319,0.9071671321367183,0.7949097949989794,0.33098421080539486,0.7996214434277785,0.8258239685657661,0.6533582249915131,0.5652980468603059,0.7353457983661484,0.7651325298296047,0.9070870354121386,0.8455480363192112,0.8208747517110752,0.9107079772372569,0.7991131196272403,0.5891424563004697,0.7533586716462364,0.7659988933904933,-0.6982218937637009,0.8670454151425719,0.4963587454384881,0.728298031212983,0.8588213857250063,0.45745218858041525,0.5250953615210878,0.768451825963857,0.5432598474422141,0.7727017557794218,0.5844416699738891,0.8027619246458614,0.45263115773714,0.3268762246482953,0.7908425789718223,0.8411058814922183,0.8528366570351235,0.7479097469741579,0.7612181109856085,0.8780083507999497,0.7773493140896267,0.8356043771864159,0.7800289055792986,0.8394835467263962,0.743726520592654,0.8673193317068676,0.5564958882581137,0.6414745980695654,0.6614350725914555,0.9077143596322034,0.931600571525161,0.678205186322398,0.8796848605392694,0.7064368080367226,0.5741215346260399,0.4768811806106173,0.7116603499023622,0.5695834252955068,0.641399736325827
ASIANPAINT.NS,0.8370131230997792,0.6826648920320781,0.7970228235150213,0.9051926403599556,1.0,0.6906340989156526,0.9335527211603445,0.897130536230975,0.79977562474718,0.7274811066083361,0.6050545967975788,0.7957584449952367,0.683766092830984,0.8943648032909498,0.775503245588645,0.7723277729153278,0.691531676581841,0.6225214644282645,0.8249958324776673,0.8500504127931526,0.8283278600129174,0.8616202998250226,0.5127749047859929,0.8339100783149646,0.8106110497154103,0.7081350109213694,0.8494113579216175,0.8565850617918839,0.5866326630778742,0.8632783595847555,0.5624849566484834,0.8049633646646024,0.8377790971944483,0.7046272275336376,0.8975162288207814,0.8141778698925938,0.8350129342831889,0.8511290115440472,0.8494953574913233,0.8993992412852055,0.8278893387238254,0.7836710869807068,0.5584651231304878,0.8245912773936966,0.8531307420833447,0.7832033083103608,0.4107092251633996,0.8278902300346099,0.7850389580571251,0.7401032650113775,0.5619649775646797,0.839481866892113,0.801325192785479,0.8885736304039296,0.8460757513068428,0.8709595908070233,0.9073667321436067,0.8070284047074278,0.7447602367757641,0.7250683506534529,0.6861847991283988,-0.637010733543438,0.8904655079392118,0.698076616064535,0.7851861205012723,0.8540392788496429,0.5447837045501913,0.48752321708881724,0.8196636524513115,0.5810876328944822,0.717640452798749,0.7954334681184572,0.8641045777168288,0.3028782059571311,0.35580836362083645,0.7518370791403521,0.7745959586539096,0.8835172061089293,0.7081975573634471,0.7859384472172922,0.8408756052779368,0.5739675658020752,0.8602203601936759,0.8504644908739218,0.8521329132581328,0.7634794330541306,0.8909973364142623,0.5318664201378548,0.6817590964167011,0.6711331541287764,0.8050435333140172,0.8773990966345805,0.6297929605475189,0.8426360928590393,0.793395983839636,0.5437124669648742,0.5369141739731369,0.6132488417296085,0.5252642539250347,0.655929234974751
AUROPHARMA.NS,0.7684344100004215,0.5497813854130749,0.7531352838458193,0.7564791455500673,0.6906340989156526,1.0,0.7572429721767618,0.8250993054248027,0.6490074488686547,0.7322482164819091,0.6234024978059677,0.6791559005795921,0.5082780342156092,0.6979223137617069,0.7416996659884061,0.6514109174783854,0.6550991795627805,0.610533080691131,0.6530654292430381,0.7998145973775583,0.7593199528180056,0.7461481448838084,0.6504486329140395,0.7123337412221498,0.7461255061976468,0.6048949562349492,0.8740223582132419,0.7208111544380748,0.530945401097869,0.7121537008238813,0.5909752534323834,0.6037549672368718,0.6270774367782747,0.6284514917428413,0.6829904348329287,0.7168546674370774,0.6980145010326012,0.779342095552475,0.7087137919338148,0.7735559964461379,0.7596488538881672,0.7228314903565556,0.47495430670077976,0.6403431937922534,0.6808892434011008,0.627094444780652,0.37958016232530956,0.6932514605150412,0.7300169147016037,0.49793092096318453,0.5493240960266657,0.6309286651662072,0.6880707133520941,0.72392798964927,0.8233735289345316,0.6863627826713209,0.7033436035774501,0.705203716610261,0.5418262168318564,0.5691411383381416,0.6474924722194004,-0.6784682428774641,0.6694230988578259,0.4240387550170683,0.6388026235648381,0.7162132271323765,0.5660290305207739,0.7245160938315753,0.7393870829955932,0.5037147358731128,0.673719991451765,0.4698902763258131,0.7486037864285211,0.48604241516612057,0.43214708168646115,0.7217621502451903,0.7324690635418718,0.7835961693362213,0.6131137879821776,0.7434752595126933,0.8738189591503758,0.4787235281101599,0.744114292765024,0.5847230965338608,0.7025199508942339,0.61634534927432,0.7600210739452893,0.6523051668317565,0.5763217791003984,0.6491163426652545,0.6815864582586673,0.7609632883200712,0.6240346896684641,0.7285064483060559,0.6083011205451486,0.5502721073404077,0.42805605325400786,0.6031909915956238,0.5180423046726379,0.5949977008049361
AXISBANK.NS,0.8728537752341916,0.7265046776413375,0.7741573097716721,0.8506738952270241,0.9335527211603445,0.7572429721767618,1.0,0.9140197886204836,0.8130466650102045,0.7383097691562137,0.7182147380741664,0.7889787806403196,0.7135644839115644,0.8781644661695913,0.7847194460229708,0.8267433618397163,0.6703677415499079,0.6844755893241559,0.7845287916633915,0.8562682334759877,0.8539390944915114,0.9024260035010718,0.5324481606314675,0.8718936876787146,0.8843913491142773,0.704160167735834,0.8976402732467332,0.8483689137493333,0.605618435917034,0.9002683989828838,0.6037194127192124,0.8541941966110834,0.8553238179049802,0.7486275715540993,0.9057699661009166,0.9013929040898838,0.8392694644271814,0.9158246086207206,0.847728194509202,0.9583087062143673,0.898954905218071,0.8776603816759934,0.6694303843031644,0.882230189427705,0.8203175600299685,0.7806098842603071,0.45045045600264727,0.8029424377306902,0.8527651678136349,0.6276193736652254,0.5964607334237026,0.8676958232767511,0.7829665433198606,0.8788166305466997,0.9048178277800566,0.8913969116874685,0.8919380873081175,0.8172269639327475,0.8404506169775188,0.7520570085369318,0.7021950079390618,-0.7271632169521884,0.8957778343452966,0.7692540055798666,0.7340743082099533,0.8948661500944352,0.5780967487994122,0.5308436209468687,0.8839293581264891,0.6302141946316485,0.7268774903439078,0.8479347866225722,0.8929002586779982,0.3240206567190683,0.5047901765348308,0.7855391569864454,0.8078638007462373,0.8960069521069469,0.7295410560451938,0.842037453993846,0.9070809881195776,0.49640222730264755,0.9341546469787859,0.735844063966375,0.8792844776877579,0.7795916913226091,0.9214886304412974,0.6046645544600902,0.6683071137946992,0.7170918427403633,0.7841203792945742,0.8884850813185848,0.709083864178883,0.8743422774033495,0.8049856160650883,0.6082257820139498,0.5158826085349396,0.6815491515941934,0.6002207717936474,0.689020921286826
BAJFINANCE.NS,0.9291636664318819,0.6930264845552033,0.8320624762622197,0.8727044804948493,0.8971305362309749,0.8250993054248028,0.9140197886204836,1.0,0.8655695634956992,0.829700998563093,0.7370767139408597,0.8029256362960793,0.6586669575534359,0.8891756147693928,0.8169935522684322,0.9031914089526119,0.7354206103162453,0.7074565361166429,0.8462560531376867,0.9076566489987171,0.9072520786647171,0.9510463075439723,0.5507988323196533,0.9038260630490235,0.8828887319803747,0.8020715068157062,0.9080763899233372,0.908854641534619,0.6995167823862978,0.8895910703958438,0.6366760318217156,0.8266223136774753,0.8282236766878054,0.8082911815945779,0.8914200837771646,0.9281123661070393,0.81824633549098,0.9509520197141133,0.8796381920463893,0.9603318308359714,0.9201858812106886,0.8554709700194187,0.6695773230782553,0.8436496511201995,0.8515931389052847,0.836781318115124,0.4313045849602782,0.831041836143238,0.8843310945994638,0.6441746966015575,0.7043272150033364,0.8192110510676818,0.8319812238028027,0.9101119976063653,0.9062285390541556,0.8654772271953597,0.8652236935174573,0.8737811814437785,0.673976879521638,0.7631061522510391,0.7770261514217663,-0.795441232098886,0.9017187976654609,0.5210777294623306,0.7526806473024877,0.9123715576588981,0.6389296452477663,0.6719298313362204,0.9188172436712985,0.6913776142121337,0.7911546361469072,0.6484385595589641,0.881367651883782,0.3210266678234742,0.536376768874265,0.8517753618151179,0.8713938269759105,0.9460351497615512,0.7333895314203666,0.8716605565527894,0.9274741503921432,0.534026869179241,0.9267710163715127,0.7921031478760474,0.9128447034443132,0.8233917509345091,0.9517139501113255,0.5599367298092104,0.7262327384966599,0.7697802304437872,0.793421449155959,0.9257982888590641,0.7662992512476363,0.8726216341216909,0.8350341684123703,0.6348855958375236,0.5285832131786801,0.7405638390537072,0.6735825449913942,0.7276672891947388
BATAINDIA.NS,0.8451639478714038,0.6814155346748836,0.6791906776843061,0.7749268835989962,0.7997756247471801,0.6490074488686548,0.8130466650102045,0.8655695634956992,1.0,0.7665889386442494,0.724428285984497,0.7748025844375604,0.608668658812886,0.8159483639579179,0.7142625166203962,0.7750429942898934,0.7318536209578943,0.6748434632822271,0.7001185142521686,0.7740756709970232,0.8285201594967521,0.8899353484167435,0.520826128534959,0.7897975771613251,0.7570990304653981,0.8072291994611688,0.7636158884517897,0.8599364199199309,0.5494965769863038,0.8675670881960549,0.5897782994620941,0.7699679498513945,0.6751891048450958,0.8446297719016111,0.8370803189638002,0.8628354508955873,0.7231057415551038,0.8004762803770624,0.931378311384277,0.838595305306144,0.8209342090285504,0.7720077933622118,0.6497838438461928,0.7206227823105413,0.8969801457942218,0.7965091310349522,0.6979563694130865,0.7476455451988968,0.8253205494720433,0.511821098544039,0.7609564507961458,0.7706005365677878,0.7412043560184908,0.8539916663444882,0.7980712816151188,0.785244419665649,0.7921731503132948,0.8090674038477206,0.5446758134140689,0.7868603250771966,0.7557400694901717,-0.8202006629073787,0.802452535478791,0.4107644462148976,0.6680499056036727,0.8483876190677333,0.6838814169025672,0.5934947698877577,0.8680344245116703,0.6437604815133325,0.8141134486674064,0.6144106219799211,0.734109253178779,0.281225759665335,0.41658320232026813,0.7534744702146308,0.8057050146397805,0.8544474175737387,0.6990329282236755,0.9326423667532276,0.7784231442957382,0.5318957005908014,0.8461928147927527,0.6809322278368427,0.8193780632506619,0.7725624801557325,0.8563413395523104,0.49674669988413506,0.6982187469529418,0.8583478156931711,0.7550907433338232,0.7956324329048187,0.7591030286380392,0.8678524246198306,0.848166000802149,0.5776755213202148,0.44373519771550046,0.6462337092728302,0.7046270431721585,0.7250228827347178
BDL.NS,0.8321381527771402,0.731527761911599,0.7209409598851588,0.8071630152073144,0.7274811066083361,0.7322482164819091,0.7383097691562137,0.829700998563093,0.7665889386442494,1.0,0.6458633845521461,0.8888791968120313,0.46969093216416974,0.71332179544991,0.7461076355209614,0.7183823432878196,0.49038232818210653,0.8334011788674767,0.6406148588224579,0.8022605790130066,0.8642735344101026,0.7906030459683785,0.511560533286942,0.8341379022844962,0.8178047715582786,0.7841852942493865,0.8014555972905091,0.8652022758895106,0.45579342626476865,0.8797730556789412,0.8481362466523271,0.7158340394116518,0.6958655622316581,0.730817945728308,0.8442476840493065,0.7559220358209188,0.587785888223895,0.763957497717154,0.727019644940393,0.7672696566607559,0.8773506948817791,0.849714585857685,0.544037117494782,0.8227426119154104,0.8520867257675863,0.7581508519204002,0.33035284304259377,0.7849632680561318,0.7302836283763624,0.41549989011283295,0.6322298818399201,0.7106821540602397,0.8051364001602681,0.8581744140387498,0.8235404895400673,0.7200558329482377,0.7510577563786306,0.8737768880314145,0.5113292337566067,0.7314683217862991,0.816118210505594,-0.8397321174912603,0.7629602710173006,0.35506962291287625,0.4766867900698852,0.8251511441336751,0.41252893082686026,0.6126664940735065,0.7486426017232023,0.8248840705350662,0.8192758811536974,0.4625012235568521,0.6481157989078881,0.26043708863124526,0.38553615534514024,0.6796412275036092,0.9291931632990034,0.7674703337312908,0.7967431934305405,0.7779693507890932,0.8712929967478689,0.6722535312111888,0.7828286911471214,0.6323418053399834,0.7578145860818686,0.7477871576224011,0.8644159458669762,0.4814379751967454,0.7079621129306983,0.5650272672564046,0.8323190160570877,0.814417413989787,0.8426409944599406,0.816931160729488,0.7390474636928998,0.8172048495545756,0.4631901740563129,0.5579786788454328,0.7491423688573424,0.8377665023800643
