,AARTIIND.NS,ADANIENT.NS,ANGELONE.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CAMS.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAPPSTMNDS.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.7045661626649898,0.7004229536085292,0.6698316449308975,0.8218285205038226,0.8558159558906616,0.8528622653821292,0.8680358313180115,0.836509303403205,0.5117720122789202,0.40191340571808326,0.5821707070798822,0.8596030602565715,0.48716970329432424,0.5952006270139087,0.811396036416958,0.8106855074311031,0.7725470876341205,0.8175572756838739,0.7827076916382553,0.6425919425417105,0.78132725309133,0.8497678759620421,0.5287779828235549,0.8256903585117591,0.6769635269911264,0.6158886141489915,0.8843878417490968,0.8334996197358956,0.7656372989801273,0.7611664498255355,0.8270135216804397,0.6519485633537048,0.524951908985595,0.8523270326583384,0.889200261543981,0.9093490348099169,0.8346118221334655,0.8127833010622803,0.7440670246744484,0.8608488403960868,0.8340121386843703,0.7222977857491886,0.6360901829227589,0.7966353334477911,0.7601598646943829,0.6732993619596649,0.8545669645377116,0.5048918690714117,0.7928344435407993,0.7968219595501822,0.665329549331231,0.6001657295941921,0.8884690048243074,0.8197458398707559,0.7430374757022952,0.7665444410992579,0.7440665227858905,0.8150427319990025,0.7653949847853119,0.6090768549568495,0.7481548794919595,0.8219579307811204,0.7503791995202037,-0.5391512113599407,0.6863933635782857,0.7094968285564733,0.7125343708829772,0.8108751215083865,0.6569027141968745,0.6655509366231861,0.686245259415447,0.529916735372422,0.7265769835429206,0.8415421762492704,0.8038536143571385,0.8330581430017311,0.6367310254729566,0.6398031360268579,0.46721605515044096,0.8496998172875991,0.6683510723566384,0.6984205362367962,0.7181252901853464,0.7551845353784205,0.7634138393969041,0.7578202260113741,0.8124414529017558,0.8856879859076373,0.8420952014683749,0.7416880245989707,0.6747721331036475,0.476486641569234,0.8280926849536279,0.7580774384956999,0.8188810977815756,0.8769879306679681,0.7943040048724894,0.8087787661154949,0.7855940882963935,0.8191404794749858,0.9072017360641607,0.46686178340539675
ADANIENT.NS,0.7045661626649898,1.0,0.5506351368459534,0.5426822367039251,0.7412854987237679,0.6778138627208399,0.6887161111449781,0.7988823560403995,0.7585034758544337,0.4808161451800161,0.5096994072304087,0.6261671783226089,0.8379410982371166,0.50859215274636,0.6266107155756868,0.7355739523926761,0.7502555682434036,0.6885210193557342,0.7210495923583425,0.6856578810114566,0.8787612479599467,0.5794806587218923,0.5604656679426154,0.6305802167173725,0.6952586348217218,0.8103969607801692,0.5040079777563294,0.6881595697807925,0.6119809201738952,0.7095678645792068,0.7182351650168534,0.7674851085607227,0.5994438443696759,0.6753817293942629,0.7349710119151208,0.7901633152726298,0.7181918193681837,0.7076078913779035,0.6893344858121992,0.7192981082002442,0.7949493964269339,0.7353554492937262,0.7953462137432047,0.5242578772656216,0.4318904720597627,0.7659717920613399,0.5546131338124086,0.7827014630371825,0.3884069045103659,0.6709158933289238,0.786489466092311,0.6440568306335407,0.5017235255788364,0.7235092112920353,0.79694941002643,0.6229337607624322,0.7107828674077464,0.7621666356063548,0.7530940875030634,0.7600026562436448,0.6033072071916301,0.7126041352333561,0.7577955680801796,0.6643599169008558,-0.5491704564702484,0.6570419939286174,0.6397603899679553,0.699975939052364,0.6806632249254704,0.5845788304489975,0.7379756563561268,0.7926231375272504,0.39138488894824713,0.6053977068507018,0.7977006645884691,0.4927620653583429,0.7078676612787967,0.7373287093316793,0.6562862694722965,0.62594690542464,0.7711913782490476,0.6720856275298966,0.6946701586388268,0.6004397544721497,0.7979911018963779,0.6810231007702618,0.5072878136666679,0.7994499624866204,0.7384238790332784,0.6944213086713482,0.7190826520495949,0.742415405958112,0.656888518680509,0.5509530485991058,0.7374844160034653,0.8415709097697355,0.8149366220277108,0.8195108704035315,0.8408908625464355,0.5231482084841274,0.7825517875901968,0.7311959895640052,0.5985098348270256
ANGELONE.NS,0.7004229536085292,0.5506351368459534,1.0,0.572130381549199,0.7983447922925195,0.6856526860163162,0.639765693182529,0.829600130894091,0.7901594239957609,0.32362978544739684,0.19794114745836122,0.6662376013932509,0.6600812267437622,0.3446058776513285,0.7084585178509512,0.6930841034421149,0.7285707255302518,0.6975358368517218,0.665153174161869,0.47786312666818365,0.4017738930219443,0.5371283521794956,0.8031550554707583,0.563971512556287,0.7670368128944025,0.5644040341209356,0.9054461479955088,0.7840868559514147,0.891727209832666,0.6369083984368246,0.7054911346536978,0.7844764867053148,0.5263775666450788,0.38239951659395965,0.8499640522002601,0.8020339861525063,0.793399016427734,0.84618766988646,0.7360124665042003,0.5868043214923133,0.8214555825686739,0.8345729202649088,0.6297697487143645,0.4213289336731645,0.5550716004272209,0.7092824906129852,0.4347370441638882,0.7468088520095292,0.2169711967348337,0.6278508712241544,0.7139696839218665,0.6730593647280362,0.4733146190621852,0.7579638858581764,0.7514230775647555,0.6579631757724281,0.6741592089493896,0.7539743486660131,0.7592603828674749,0.6176896212937917,0.4449558166317061,0.5350845942968139,0.6493655822251494,0.7357147045485454,-0.6195627496120931,0.4415634916781372,0.7360876393378875,0.5530046690864799,0.7877606367109452,0.7215241658951537,0.5913629792263847,0.6416160274974888,0.4086790237001451,0.617769855668438,0.7701209311549696,0.6252806858623521,0.7063224088202706,0.607087519790445,0.5669879143742769,0.4060808342364999,0.7942347316285626,0.43070492318849407,0.7355045202913577,0.6903311928285494,0.7197788953273122,0.7721982514231707,0.8044832268948456,0.7818538080899345,0.7718793646072573,0.7266842110851248,0.6673113300683047,0.5521965614646521,0.3865680724358918,0.8735671231169272,0.6167987738295009,0.7223937536144408,0.794906896419705,0.6191341600635482,0.6964572604245909,0.8786761311892145,0.652299969083508,0.7111035844611577,0.4563790490411992
APOLLOTYRE.NS,0.6698316449308975,0.542682236703925,0.5721303815491989,1.0,0.6473617313479876,0.6593900604779751,0.5957932130926645,0.6777019951534621,0.8311962691312617,0.3834347121236903,0.20445926552947172,0.3892163214529212,0.5691707895239766,0.4473601811582883,0.5838491297450248,0.6893565659692726,0.5167139737213643,0.6891141064092553,0.7899347707148747,0.6156781487194855,0.4550438601859315,0.5903091420920055,0.6052673567703555,0.45328694823724996,0.686139067484553,0.5270380799062507,0.5277126585204576,0.6842888180565874,0.6470824711685635,0.5681839941370724,0.8085052416986712,0.736275315861987,0.42411342209041536,0.2682520337889063,0.6004578508295066,0.6391505268539105,0.7131291248445244,0.7193070039778223,0.7997851725482362,0.5689255922709185,0.7114764598704538,0.6455824742471479,0.49073198263628653,0.3967750940801952,0.5030638121980825,0.6482650432776541,0.4197219391508867,0.5976822076895517,0.26751937313812985,0.7903536243214451,0.6283018600620809,0.7527650519689659,0.4249119691072114,0.6458552166476583,0.5842985155114209,0.7696377533318398,0.9218739184428499,0.5060408406351725,0.6316651169052883,0.6389295666517264,0.4815365059409331,0.5018135483045914,0.566543699334299,0.5454436132246616,-0.40933286535727803,0.4889654362208032,0.5409946531530309,0.45678840647248425,0.6210090182403989,0.47148328782019416,0.5035446905925052,0.5557472304102167,0.3988297284143789,0.8899699955895084,0.5808083141006126,0.7093751445901137,0.7806731327860423,0.4430247965552479,0.520319479064973,0.3530439686304205,0.6620491342376603,0.5883563843856856,0.6206492208560336,0.5131609487766194,0.5222807576796058,0.8080384642605617,0.7138078846345662,0.6862761424062852,0.6104579468042053,0.6099062330769834,0.7057404180514538,0.39209032579833963,0.3164377899536325,0.608625418697156,0.5696403969502094,0.5613031020193513,0.651981261445926,0.6303602571977491,0.7358962072874144,0.6912584829451626,0.5488511287130795,0.5752269019499815,0.2733433937579677
ASHOKLEY.NS,0.8218285205038227,0.7412854987237679,0.7983447922925194,0.6473617313479876,1.0,0.690858238806981,0.7591226055200717,0.8665225488719233,0.8548729758348539,0.4911461374885379,0.6109358134989772,0.5398388056173182,0.9105130557553552,0.4863643894347616,0.5755847905731017,0.7869833526933965,0.6866852315187697,0.7175496979747011,0.7965503693634464,0.6395786989584236,0.6595180762141963,0.5779396202238043,0.8350588709593231,0.5544558583944875,0.8459936475458166,0.7797612847934178,0.8140363571563478,0.8746040378479955,0.8625584336162795,0.7740785909598283,0.7559245324177764,0.8279107939771643,0.47883797104843345,0.5617871042157995,0.8610821114743213,0.9084299101912534,0.8449851186561802,0.8624666287168726,0.766580554102345,0.6710195588781231,0.8314264849418215,0.8507850651536012,0.6523413122685984,0.5726045223815311,0.6661525736374888,0.8591352963691778,0.5339000908204387,0.8187450199040368,0.3522242606727345,0.8330574845879857,0.7567533814089531,0.6952639273290948,0.52498632147989,0.9182865393472806,0.789221994792549,0.6693221722678567,0.7625005273918974,0.7279790677567791,0.8176378840281708,0.759809140797608,0.5568095864978829,0.7873079330108899,0.7961430462170628,0.7041689405581616,-0.44519482015289763,0.6271512687279084,0.8173629084670737,0.5823488966443344,0.8388886744743731,0.6455132334047772,0.6077253914648566,0.6321126980034074,0.47579151267626113,0.6637957627795634,0.7315375776117032,0.7019983026687862,0.826072074144576,0.6119353891115257,0.6211904599456791,0.4501668211639381,0.893274041239326,0.6594222463023622,0.7839132578628939,0.7188580794102096,0.6972524288177178,0.7954573781565897,0.7616323561742602,0.8597625323291564,0.8724166786959158,0.9247714955104852,0.74887443319363,0.5457669524487913,0.3945332980302622,0.8510305879558745,0.7016273898523755,0.7861258779525777,0.9055897862017086,0.7741824320376871,0.801667499366058,0.8856681144287962,0.874124798252834,0.8254691864481768,0.418978583037048
ASIANPAINT.NS,0.8558159558906617,0.6778138627208399,0.6856526860163162,0.6593900604779752,0.6908582388069809,1.0,0.8550591725587219,0.868465301093726,0.8447845378339425,0.4781922825706283,0.2943315076834323,0.7778639803982939,0.8090684149816092,0.6102579274019309,0.7346140091756489,0.8153991880928901,0.8796106143360444,0.8512458482306888,0.7846158906195009,0.8253546170324172,0.5585210562062597,0.8445185511685318,0.7171013840915323,0.6382218915883143,0.8605525200735746,0.6682847134593237,0.605237013834598,0.8654291489409929,0.7684741657036352,0.7381924471487907,0.8389846370303943,0.812429589208083,0.7303721356472709,0.5268234924345284,0.809554263154105,0.8822121003307748,0.8766073477122993,0.8449999966779841,0.9027963675629616,0.7613115458706368,0.9007484225470095,0.8118106319895684,0.6815961062821757,0.6671178467671431,0.5867502108743026,0.7969047064353126,0.7977048827065141,0.87672662243201,0.6251569572079416,0.7711305808721978,0.8794488635306175,0.7523904728849389,0.5710298399019993,0.7961928786789957,0.7961203586048494,0.8421843394872822,0.7076848856501118,0.747826308696256,0.8282663262258307,0.7695869523333059,0.6267581266896042,0.7252427087724993,0.7935008139880725,0.7931108961695417,-0.6155175824025277,0.7897505762997782,0.7077597713600345,0.7354291933325529,0.775731810674783,0.6521013846714351,0.7619683326455282,0.8013121395470764,0.6699192799688792,0.729179527778038,0.8659389542495959,0.6356369609009345,0.6889745803845676,0.7249875492472322,0.7808262213529139,0.47538041038779094,0.8118271900190972,0.7232946132330365,0.6570902288255892,0.7775283489029791,0.8647025240784463,0.7932111880353738,0.7672993564741817,0.7766831181654421,0.7565457611439121,0.7232655535883781,0.8371252994941276,0.7697148201534179,0.4292127272744397,0.6917356777895244,0.870823616520591,0.8337983562369046,0.8191529404084011,0.7775686692550122,0.7507399853251581,0.6815940220302134,0.8120228312353367,0.8951332882539256,0.5317036924545149
AUROPHARMA.NS,0.8528622653821292,0.6887161111449781,0.6397656931825291,0.5957932130926646,0.7591226055200716,0.8550591725587219,1.0,0.8641313560037943,0.8317199963507393,0.7868076316073667,0.36854078598493206,0.6834987476687033,0.8650261383279891,0.5966587838112493,0.6640828190455356,0.8495347123116425,0.7893842954739134,0.855525412146607,0.8115388990776853,0.8520039504640835,0.5962345203098958,0.886612753983861,0.8227314090169465,0.6337860396973293,0.8771205777342317,0.6929065744776022,0.5936297749757994,0.9206764792713391,0.8151661001369535,0.9054674138556502,0.8432406812959583,0.7659683195232925,0.6506540324326878,0.4892813285541153,0.7976848273303662,0.884747414623624,0.8792624698979643,0.8564586841587928,0.8235960105751597,0.8656236229680281,0.8798693364809202,0.800494511048941,0.7350798474142733,0.8572618165834027,0.724598042207876,0.8105684389415017,0.7041167354501148,0.8792710665746896,0.5945236926728246,0.8130697812459792,0.8449642148247898,0.744397688379423,0.49938767542868134,0.8742990056276231,0.8197603442892659,0.8017643014684557,0.728278045623898,0.7890291196406591,0.8471946810736144,0.8687367828142488,0.8204082293231768,0.831362012641479,0.822770982741421,0.8102372228509347,-0.3906589541528192,0.7927548285811923,0.8094628682599241,0.6476444589105042,0.7885112808835844,0.6718687988814156,0.6909169245827969,0.6820528214899176,0.6684281945112088,0.7828806359977968,0.8089507813885884,0.6435404214277961,0.7974891553113409,0.7043349020188555,0.668343886915877,0.531068691535831,0.9200032315976183,0.8049090997236037,0.7936529964774717,0.7312775161591637,0.8136887902668419,0.775409093498533,0.7000598499898096,0.7754480014690038,0.8499811037027044,0.8735778680908152,0.7826692585782851,0.7445645241082679,0.40973983964487115,0.6915108303581657,0.8466766524667049,0.8028727227287232,0.8299461897376705,0.9039764718305796,0.7729817717489554,0.6941233151815551,0.8419076447016829,0.866796928398259,0.5179517320929217
AXISBANK.NS,0.8680358313180117,0.7988823560403995,0.829600130894091,0.6777019951534621,0.8665225488719233,0.868465301093726,0.8641313560037944,1.0,0.948657211248469,0.5252700151028489,0.35499094505075884,0.7561739100686028,0.8777561422610953,0.6603206110191294,0.7998841965141373,0.9030492522469925,0.8378153080288333,0.8279432858490756,0.8260320823717373,0.7178976221100966,0.6940167200699812,0.7218112872695769,0.8803637482011255,0.7509017887550431,0.9002601850788388,0.7192071596210452,0.768852576400775,0.9040206294744616,0.9098682131377966,0.8105195958250999,0.8946602827358511,0.8833966648108365,0.6051291829673621,0.5274933551890328,0.9519747255542246,0.9536471628273154,0.9547532501588748,0.9512537919957037,0.9214826067222018,0.7862724057382435,0.9650576910780507,0.9672867847801039,0.737673480867444,0.6339389234704335,0.6815519607433609,0.8842177373576268,0.7349090269197264,0.9573554612190427,0.42613013199460753,0.8421370479973634,0.9347764023310615,0.8854741849140771,0.5786820834715243,0.8703367800547973,0.9487139353634817,0.8328120491622499,0.7982244395034086,0.8629227490634357,0.9481826224828049,0.7897964971327806,0.6308208351508722,0.7503469840616164,0.9113393326740019,0.8623666695677878,-0.6570086719737801,0.6868147112274435,0.8508265617698806,0.7460550660273534,0.918712581430675,0.7472222141542053,0.73062913058002,0.8090123780175602,0.5415338562881691,0.7525082010059572,0.9144672038417991,0.7002860444862158,0.8270251529663516,0.7350050590581726,0.7703162408755979,0.4721044207049513,0.9355201002331384,0.6835561378681645,0.8206813675016942,0.8540296313709144,0.878941965102132,0.909015249814786,0.7620550500694652,0.9143427965444112,0.9298817459802283,0.8877907546379347,0.8813602809481691,0.7641660687070583,0.5675704387374997,0.8457926322654551,0.849076374981591,0.9236723650996063,0.9293677614961197,0.8387094882714042,0.8229793734586643,0.8165439517462882,0.8464803493131267,0.8768961688873608,0.5722818802965907
BAJFINANCE.NS,0.836509303403205,0.7585034758544336,0.7901594239957609,0.8311962691312617,0.8548729758348539,0.8447845378339424,0.8317199963507393,0.9486572112484691,1.0,0.5350147531810034,0.28906872326239885,0.6405246759792638,0.8325681296696165,0.6439191276203816,0.7212360705882539,0.8805358500611303,0.7669132460247035,0.8531594870898941,0.8693510641580888,0.7243278100557501,0.6801654970733766,0.7171123035088071,0.8486975996766337,0.65385051584392,0.8930926728556386,0.7006058840403545,0.7580375129455357,0.9010025329774042,0.8917343505506468,0.7917336032517884,0.9262822207701646,0.9046838314130186,0.6048762562418087,0.46939508838831573,0.890804573100215,0.909349970057407,0.9304202534627611,0.9448187917030986,0.9534408474264789,0.7342974288066898,0.9571520999243989,0.9259975645807391,0.7260575105712817,0.5944869212799676,0.6568214059848352,0.8638664709684172,0.672046863920599,0.8846300059779147,0.42653211376558714,0.8716810800131348,0.8813345630795618,0.8978431709173563,0.5663962112611647,0.8571198811738437,0.8789896667742353,0.8727863385801092,0.877549037853072,0.7718271423742779,0.890677145558163,0.7957548048960996,0.6396786300246211,0.7225223676604522,0.8484926235951422,0.7714247050412619,-0.613498813499252,0.6758685522999915,0.828456719204355,0.6835215190569827,0.8899992652804373,0.6557894421389957,0.6721246432002417,0.7396280448318211,0.5718080184237037,0.8205566712854339,0.8178444514353703,0.7154633980788616,0.8553489079469851,0.7269270884758895,0.7462243101050542,0.5000873587127469,0.8991871047816139,0.7129449242158378,0.7856952085588347,0.8162046938407986,0.7767246304341777,0.9490327477304045,0.8107115580462219,0.8950204825931048,0.8771042442968301,0.856996093657927,0.8765915138319725,0.6518535079920995,0.4603950000057935,0.8393311015498879,0.8153277897005983,0.8523277082329135,0.885693431553208,0.8314714108407171,0.859874408424385,0.8409265961102814,0.7755863052011921,0.8117263453828714,0.4655473404391378
BATAINDIA.NS,0.5117720122789202,0.4808161451800161,0.32362978544739684,0.3834347121236903,0.4911461374885379,0.4781922825706283,0.7868076316073667,0.5252700151028488,0.5350147531810034,1.0,0.28683277868563245,0.3759124415805216,0.610481029695227,0.35340046312847817,0.37059095772683753,0.540238746810264,0.45047304286750295,0.5791408031284934,0.49453665819036063,0.6900123906304194,0.4210209332737287,0.8000683532028795,0.512140288787409,0.38250591165575604,0.545076294696321,0.43151167304644894,0.39018737826465755,0.6536492496291249,0.4473154456289362,0.8503354405478231,0.551551657159915,0.4599592259641777,0.4353667437956183,0.39635948945028737,0.45686161689045346,0.5564304848520807,0.5585397529253416,0.5093375909666473,0.48714200424780446,0.7170353218982443,0.5433117825513042,0.4822635736499399,0.49119323760301536,0.9133783515574874,0.5067194070728556,0.5418928438155126,0.3624484374266685,0.5426063850051469,0.5022584125762228,0.5308950751130355,0.4944135437605957,0.42043186339966054,0.31750454193163113,0.652439769997279,0.4908523930215372,0.4510531324480564,0.5418340048513234,0.48199193735496654,0.5106441551920983,0.7883374800749666,0.9436776198994961,0.6870781634322588,0.5190848242491388,0.48786370263975803,0.08971903482632546,0.62131256519079,0.6514620404541099,0.3995719692533688,0.43746027345085187,0.40079658923901806,0.4426491594679357,0.4033651016681694,0.5731327982245423,0.6284019109897371,0.5299677134831284,0.32895852905732603,0.6584591792907728,0.3825327095071169,0.4592003089138086,0.2916095972216106,0.7164837291566407,0.7643929690440686,0.7123572197364605,0.39348975488565946,0.4730313629331251,0.44825518646286017,0.38863726664570525,0.4626496200872648,0.5492248486598642,0.6205216694707281,0.4816243902617837,0.4442093145801542,0.23924440844756853,0.3949744882941197,0.5161821201052023,0.47410857017531505,0.512897178587168,0.8483646723625015,0.4769803244511921,0.37337528921178714,0.5601005387476263,0.5453144773073685,0.27041355825095365
