,AARTIIND.NS,ADANIENT.NS,ANGELONE.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CAMS.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAPPSTMNDS.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,RAILTEL.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.7299105794132451,0.6736512177935637,0.8273076751411206,0.8079265047422426,0.7826632390956766,0.59808757570982,0.8659562369770474,0.7747513373753147,0.832287100229327,0.6200336040319742,0.8044054151489753,0.8171850399298404,0.823177088429523,0.863330489892842,0.7526637285423328,0.8189594930696504,0.8269487812318117,0.6512039794504543,0.5816565267131845,0.5902581045110601,0.8335913923656085,0.5874226791481593,0.7982651524505967,0.7352722988248592,0.7932452093017678,0.8581872817135436,0.8050949473549536,0.5975160281561245,0.7574619591007009,0.7171284131443746,0.7063317285174416,0.778530969114763,0.704844871472591,0.8173614893624781,0.8000969828913447,0.8114453962816436,0.8097591604902832,0.8136049709511382,0.8956954882965094,0.8218287144100851,0.7989271961516785,0.7486364742721929,0.8435442436056968,0.7209052372936124,0.736955524927362,0.771210985991964,0.6110184216602839,0.6164371831893594,0.7436463778040366,0.7574833362549122,0.8476851326448143,0.6290132905190743,0.7743190791512542,0.6718005853253782,0.734137465077368,0.8127065858677124,0.774214598795964,0.8710397659189854,0.6150846294778383,0.7087360483967939,0.897210335709416,0.7277536373374123,0.729723312246074,-0.8462563190666691,0.8055163621231143,0.8729445550812076,0.7275132789578493,0.6474817771204752,0.6385581181060198,0.8162457312583363,0.7670476294161704,0.15252180756982725,0.7114312911312048,0.7930866300674538,0.6406351200770626,0.8965859042569855,0.7607343531632391,0.7585710189015181,0.6728304012507134,0.6754507940615727,0.8562460094958406,0.8238962566607133,0.749814756719188,0.8435446229617377,0.8469487798652773,0.8346926357905053,0.5016394001479736,0.6107753127982457,0.8359897408577128,0.7148211370162049,0.769016692410882,0.8725892300877442,0.7540964219114763,0.7061739961268146,0.8315328633641327,0.6439074929665779,0.8205833632516817,0.800782865986946,0.7464785754357885,0.42229034371309165,0.7476359355921235,0.5408619400364443,0.7014136468467291
ADANIENT.NS,0.7299105794132451,1.0,0.5513350901449412,0.6915429437577805,0.828954143045859,0.8973359878825534,0.6717484532660085,0.6221361100005419,0.6740968018347999,0.8144701764697398,0.5399935402079695,0.9522482436799062,0.7007863912573586,0.9332640434524212,0.8472959636703984,0.5103243471264766,0.582176100775083,0.760096533490885,0.8680733520514898,0.45157724481119654,0.786563053167057,0.7180749126638846,0.6623647482011111,0.6946533500965832,0.8894998664920214,0.74352519131024,0.7829511806839624,0.884340076669188,0.6986537799895696,0.7818159195439678,0.771618568944378,0.8285382340370225,0.9090996509744435,0.7873215170797723,0.8268368310785462,0.683858994626275,0.7530042615497382,0.7887090524537822,0.8061103414634173,0.7405367118776983,0.8228266065346179,0.7615130949422879,0.8872415095511322,0.8263663762630322,0.8181520501940798,0.8497740387174523,0.6765120552666593,0.7517922947851426,0.8438352254840106,0.8606912326010663,0.7678118413752214,0.8352225816829085,0.8109752693527499,0.8767061303090362,0.7143282717234919,0.7579566622288717,0.863112895311015,0.6621255273721571,0.7695027914749452,0.6943113118953366,0.8941700213273485,0.8498122517332038,0.7717491101801075,0.8093003289172739,-0.8904539733740964,0.7917840725870884,0.6864595064123458,0.8198630848728893,0.7728291900704516,0.7214597600012198,0.7654097369145162,0.6475183981968405,-0.06565567078920088,0.5364739258698458,0.8876774776088152,0.8263350732541709,0.7199039891240999,0.6306751731487096,0.8991850751171768,0.5297401146463815,0.8946887858683807,0.8695696955999609,0.8428114733110906,0.8485798461645887,0.7473694367859309,0.7317949350897626,0.845703067773165,0.7350128633631756,0.7283389853986335,0.9243869645528406,0.7811330456485953,0.7950847009569664,0.910932487006301,0.7539604668047843,0.7856677092194186,0.7969632472740179,0.8150974846059031,0.7881729322230635,0.8222225663659971,0.8158914155775977,0.20992513472453334,0.916707672391382,0.55727710927823,0.6767336488533452
ANGELONE.NS,0.6736512177935637,0.5513350901449412,1.0,0.5817505797884932,0.6932975842273342,0.7453668869964951,0.8701699962617052,0.7116325894381447,0.6700848829527923,0.7531460944086606,0.5029963878116219,0.5655676275592227,0.8025623940255352,0.6043385133259442,0.5827205417894465,0.659355916510608,0.7121221959173698,0.6293358378596527,0.3730768571369094,0.821663850383231,0.28412259003390533,0.6757758447845469,0.6280916613534342,0.6093875567367655,0.6446460481446836,0.4572887742594059,0.628955063670678,0.7349615808616079,0.6837174410330396,0.6928429151589108,0.6098699687784519,0.771358409805289,0.6405207890300828,0.452950266506879,0.6722683894792862,0.6946192361991094,0.6203855699240809,0.713534409886903,0.7552329112199389,0.7175704816511734,0.5985044803357576,0.7468683715366885,0.6304806142987568,0.7270807375228101,0.6978504931720416,0.7018980281470575,0.7643129878335065,0.5582060086605759,0.39000500280387285,0.654727093621059,0.4847003475857302,0.750952010616701,0.5350808278970174,0.5741658641674452,0.7885298300791047,0.6889416299479285,0.6087363377664513,0.5460891692647445,0.7567755978303433,0.764057580741837,0.5085008545173146,0.7217459590561599,0.8238894872186224,0.5791205403495182,-0.7354587856154511,0.6859799495554295,0.7231869866657977,0.7129017002149923,0.5496629743454103,0.5586343516886388,0.6567393179874795,0.5170889448780089,0.004958302994468137,0.33555233329106254,0.6092360887662794,0.5507125561919073,0.7181235630170938,0.5885864117951128,0.5994752524427064,0.5521986377501581,0.5563102902872145,0.7160576986824365,0.7215605476052755,0.5338222819066193,0.5259977268127211,0.808743930260094,0.7154423649635029,0.46585070038201987,0.5982081307481316,0.531474349578231,0.7553987048010121,0.47918060679031743,0.5907426010062632,0.7193546405012722,0.5535631264002964,0.642376700905055,0.5361511387825748,0.6575632267341402,0.6439399973619211,0.4912189590298538,0.33779175061844713,0.6239495730208376,0.7837480952401819,0.4577956553823514
APOLLOTYRE.NS,0.8273076751411206,0.6915429437577805,0.5817505797884932,1.0,0.7778592815606123,0.7607195061631029,0.6445377780521663,0.7863401817202293,0.8572717060395108,0.8362735279899093,0.6657453863843786,0.7750961921185288,0.8687391162845798,0.7711226250045687,0.8496785057522868,0.8168130026259411,0.7896468834485475,0.7830501122746418,0.5547283733051421,0.5445664550570045,0.4718870037069352,0.7096175970035846,0.6796059823429604,0.8957768654185437,0.79953380334198,0.8033254777548687,0.7525941984084731,0.737286814454864,0.7347994276429872,0.8118848786810184,0.75841754350057,0.7015008263875442,0.7717778057038973,0.7418414052293599,0.7930554873374305,0.8426283371863501,0.8137172069928336,0.8388261600544499,0.8149625031391402,0.7875038939853714,0.8790242769245221,0.8123025187139382,0.7856177199765129,0.6864071829273758,0.8313695468087511,0.7521055000823914,0.6194379008504554,0.7680397140980503,0.6020638355301454,0.7610890916856008,0.7680471576389688,0.832065239622941,0.771483800381032,0.7907379621362853,0.6605323674380563,0.8733997853980697,0.8675150301070704,0.9179291399068015,0.8454826265941314,0.5678652592360061,0.7080008750766901,0.7727357261154683,0.7278493288122366,0.7314555450987358,-0.7684266791294683,0.8046972546299183,0.7076224697517961,0.7765971198546395,0.7234713690537372,0.761371604909408,0.8468522068236161,0.9102762786673584,-0.02920949418657166,0.8179029514113599,0.8046113259973658,0.5684791418319376,0.7075370707893543,0.8760618133190274,0.7717658394820539,0.4552683445215149,0.6617214589235466,0.872743098784161,0.7720873557173213,0.644961673256482,0.8903621022777073,0.738718070000029,0.8775863449226228,0.5444772665815646,0.6488760217313907,0.7234801284173568,0.7733674732911626,0.7815276946938984,0.8451584418333635,0.7707449687038678,0.6028566554122878,0.8024348680030455,0.8268224712200004,0.7390641463560403,0.8503231956842991,0.6782166226961172,0.4551606749578251,0.7826155039370607,0.6073900332661418,0.7194646030392507
ASHOKLEY.NS,0.8079265047422426,0.8289541430458591,0.6932975842273343,0.7778592815606123,1.0,0.8097150355997572,0.8096290653761633,0.7481229762166544,0.8011007068746004,0.8818240715267193,0.6446736427619123,0.8127254668202687,0.8466093051427186,0.8744218237792242,0.9494003636346093,0.6936188868691414,0.7181870342033189,0.8427460467949801,0.6475568419968732,0.5951566879707646,0.5097460273820719,0.837071314392567,0.7858815030898595,0.792864325275863,0.8492293697567258,0.751130100265848,0.8124438145643191,0.9389238775495257,0.8148714780478609,0.8577698957097125,0.8529959896811964,0.9063245079132264,0.78689938319672,0.6479837294446769,0.8805429993805579,0.7880140947639945,0.89897684375017,0.8689424613685286,0.8855408551973366,0.8699432797021113,0.8388317664593052,0.8495037602722849,0.9221975421273912,0.7884377317045924,0.8361653649457508,0.8721298239027131,0.8758440117129889,0.8087516137074828,0.662193205638142,0.8527935949215547,0.8850179321919316,0.9112422535126302,0.8833236160975114,0.7989975615820264,0.8358381402056151,0.8222506096892245,0.9356143657644286,0.7295416434420696,0.8667886019778702,0.7705705819786304,0.7586891222260809,0.8751959986994358,0.818276834420048,0.8559014633986693,-0.9199215051652094,0.9390168846725923,0.7166389760187177,0.83553154777623,0.8230274703437862,0.739291949943617,0.793982404151181,0.7404394526056545,0.0010405744775245425,0.5903879685081247,0.8572398877821665,0.7797047298552027,0.7830601597744296,0.6957731466920182,0.8938264565111681,0.6401426285869457,0.8345121012351465,0.913519336302247,0.8358795904587321,0.7756622814020959,0.7965398235677545,0.7688770968300961,0.9122988219375108,0.8279109116323404,0.7707274482019113,0.8062612339424179,0.8640107523571314,0.7403914480455279,0.8118915133867536,0.8591393965019349,0.7784651747588347,0.926594161409217,0.7980945080063578,0.8954054601575763,0.8731963856908522,0.9107739406062524,0.3245336833113371,0.8759143557186261,0.59545872977863,0.7072255309418566
ASIANPAINT.NS,0.7826632390956766,0.8973359878825534,0.7453668869964951,0.760719506163103,0.8097150355997572,1.0,0.7936608348051809,0.7030691980042076,0.7486577975233252,0.8809966715573017,0.5819233839946366,0.8601912288164675,0.8375573529022913,0.8779444372530623,0.8035448058706056,0.695962927122252,0.7596489810386511,0.7433224346440843,0.7248655622978677,0.6552517922619299,0.7579074660848831,0.7357186891803088,0.7182083138642563,0.8003540414087287,0.8616359796844785,0.7351918020927625,0.7831132907618076,0.8592293648806566,0.7381925145894135,0.8310161302595096,0.8057273036198894,0.8570380530800007,0.9303826369443335,0.7329827978912453,0.8437262595340469,0.7429294371245876,0.7797075577631383,0.8443622377387658,0.8599738556208072,0.7837425885896974,0.8837250591932205,0.8360169643205914,0.8697682576055289,0.886613126101729,0.8662019181756553,0.8358122146738965,0.7694916882458628,0.7660656631140758,0.7877286068565267,0.8757405389640857,0.7177193298749941,0.876792432522374,0.7791856345213364,0.8908532785364521,0.8051746231902327,0.8121842593596597,0.8099579346949617,0.7002271524169652,0.82780815586364,0.7032496795729912,0.8103416914743325,0.8324970122661834,0.8726754587845545,0.7876229615785371,-0.8990057142286451,0.8430686922036916,0.8286322491658558,0.8403556211882485,0.7392976798224251,0.7208619613913156,0.8231773575151812,0.7136117687061042,-0.08724424716248877,0.5752886093733823,0.8896562693280058,0.7283806092027545,0.7639859238693484,0.6856054378937764,0.8835276715942171,0.586003825131005,0.8121480614438835,0.8861432426656863,0.900048684575096,0.7657550149877813,0.7721522764201105,0.8042697819557976,0.8832536766676237,0.6266213093263655,0.7722614982432072,0.8798573216760632,0.8474193077886483,0.771684103205013,0.9243698094511449,0.7700171741146105,0.7559339078060691,0.8048156283169405,0.767988037903587,0.7394965187205749,0.8366286672620344,0.763451373031557,0.2865894726568169,0.8717300889395524,0.7353494321891978,0.6565552018517847
AUROPHARMA.NS,0.5980875757098201,0.6717484532660084,0.8701699962617052,0.6445377780521663,0.8096290653761633,0.7936608348051809,1.0,0.6392249615640184,0.6977919630406619,0.8017727095349538,0.48001316335673316,0.6354471450160829,0.858191236474682,0.7078724147424282,0.7020147079563365,0.6391672336153678,0.6921120917607401,0.6406321036404068,0.42337867086111164,0.6724920623760099,0.3439792662847331,0.7267695872377326,0.7856141101493554,0.7130305972938438,0.7699134407328674,0.5730151682398695,0.6241428885467756,0.7876724574978134,0.8430287490306647,0.7914980712812368,0.7436245317094845,0.84695520402962,0.6776985971403245,0.47508895693784664,0.7830106236993502,0.711312225991676,0.7248610368953692,0.8397687486829283,0.7885921713102237,0.7215997529742828,0.7356005078190181,0.8062059878576477,0.7808034038550247,0.6834890357641966,0.7663207903149654,0.7855051130178914,0.7766579558641727,0.7735329771512989,0.45596201186942376,0.7578969944648543,0.6383513350489779,0.8180707445660588,0.7433572047200201,0.6745551873142017,0.9233637197666822,0.7497085663428416,0.766247431689482,0.6437384223868041,0.7823686229023555,0.8135325351659971,0.6527967543433572,0.7156514045762965,0.8214527349840097,0.6840201527071617,-0.7766407023896897,0.8210243957054351,0.6291453617850082,0.8182554728261122,0.6834556096874146,0.7064713924296776,0.7030221119167178,0.6493899097548891,-0.17544212340765578,0.47245303215240236,0.6948655501880543,0.6837191725624455,0.6606335404325034,0.5973405423506427,0.7396853837699106,0.5200882767633737,0.6938414563524028,0.8027919492487401,0.7772151954195662,0.5859533793698964,0.6171094838517779,0.710058748100339,0.8156319603762557,0.6558704941950518,0.7628097338176733,0.6115415627349042,0.9094777503463993,0.594279882607508,0.6717450244672207,0.7936047870800526,0.6199230070192092,0.7334213398245167,0.6950738046660326,0.7334483560732329,0.7932542562660013,0.6255200964773583,0.20910315528115872,0.7732972094565971,0.7382228302791185,0.581360129757408
AXISBANK.NS,0.8659562369770474,0.622136110000542,0.7116325894381447,0.7863401817202293,0.7481229762166544,0.7030691980042076,0.6392249615640184,1.0,0.9056642837808826,0.7825474112077614,0.8254756653603087,0.6935053050250741,0.8508685793404325,0.7975170752980958,0.7495607069739281,0.8525971501472015,0.7455214313765225,0.913272195180466,0.4879722537674699,0.6199790760380174,0.49859609209764966,0.8092689896630557,0.6173802724328622,0.6918433218146932,0.6620290992261348,0.6242838228079678,0.847926707239653,0.7331931246527018,0.6196585394433273,0.8324867752446565,0.745278351870231,0.6985095496911958,0.6476867504529128,0.5671527195060283,0.7476791972261599,0.781720242325452,0.8707665203296844,0.8138465020722611,0.8654318073780304,0.8391398058998882,0.78469248459123,0.8362636370184668,0.7152454105908715,0.8173571753628273,0.7605068107258153,0.709817915652497,0.6578723715230891,0.6194160940770529,0.5545682059459605,0.7082630359659685,0.6456867169824201,0.8856499410325133,0.6092821433390866,0.7173356066700322,0.6810404888048005,0.7375008862839119,0.708177508628801,0.646860921473531,0.9237727173207172,0.5886392212510809,0.6447141975496572,0.8294980213382351,0.6671313046351787,0.6893970154205672,-0.8285132799318219,0.7465184944261972,0.8624380873914604,0.7282903928785126,0.6416287695857105,0.6721322260457716,0.8166746064174285,0.6032457016730642,0.15621631338935407,0.5388936056452668,0.7794065129156156,0.561929633869483,0.9036614725653377,0.7355369543217398,0.6919706217419432,0.5673955578046893,0.6598329499931466,0.8480740337338663,0.8032999703908673,0.6209575011184943,0.7353171913904417,0.863282524534088,0.858840510179635,0.43997376375766073,0.6282881547954772,0.7339552581473121,0.705704766809258,0.6359164454922107,0.7587498424175932,0.7290196588348381,0.5911933694122505,0.7689488779270024,0.6197776759800517,0.8040348264366934,0.7161503090056285,0.6184489612698071,0.7002593545104052,0.7272138067285606,0.4703030792559993,0.6707916277653697
BAJFINANCE.NS,0.7747513373753145,0.6740968018348,0.6700848829527923,0.8572717060395108,0.8011007068746004,0.7486577975233253,0.6977919630406619,0.9056642837808826,1.0,0.8258576768755393,0.8875845795113255,0.7353582877349352,0.9067596795522102,0.8183787826344944,0.7933143418015529,0.9249375728838677,0.7470849547300825,0.9137372374170946,0.5377351795102764,0.5894361217787522,0.47282479521071236,0.7935724336332644,0.7224355808359781,0.7621134461462885,0.7213428431837297,0.6387260024223694,0.7946737410643466,0.7741068782027812,0.7252605717591953,0.8994557540347222,0.8049947037374654,0.7487576315176172,0.6990601454721921,0.6769510434915318,0.7707744056022235,0.816105375403096,0.8990180841223586,0.8335333207877362,0.8817745306219709,0.8062404749505114,0.8508526515215104,0.8585026666708001,0.7988748325601314,0.7293358375070073,0.8410339656710338,0.7637032196480806,0.6395527025853903,0.7268097560129293,0.6182740890773325,0.7702069985749981,0.751614980507987,0.8868060295671095,0.748568292061835,0.7909240842297871,0.7307561187094171,0.7907074662093349,0.7967664597207001,0.6898029118839922,0.8830070067361273,0.6278327882326388,0.6635911258300575,0.7700713291183144,0.7439605015090344,0.7206925446200542,-0.8408490426349177,0.8055256956229748,0.7192987846617124,0.7536404308802072,0.7789184962732,0.6819604745898386,0.7739578231587377,0.6855003721242122,0.03564248046148468,0.5899010328454044,0.7857139008437577,0.5626265557707383,0.7719715996948356,0.7888111473625037,0.766642927625249,0.5195278510527567,0.7060763172338399,0.8717615522107957,0.8158881868558411,0.639071283641208,0.8058870780228408,0.7901170466024374,0.9227524381112245,0.5571278187576373,0.7347871620270309,0.7009602146733087,0.7960422639750507,0.6797330396067292,0.7670558514388093,0.8205505196771012,0.6466288075781865,0.8143020418861826,0.7119468190668959,0.7460092925954215,0.7888321274572787,0.6453933043141767,0.6903188679282275,0.7841806708538613,0.5089712356699243,0.7331601000128589
BATAINDIA.NS,0.8322871002293268,0.8144701764697398,0.7531460944086606,0.8362735279899093,0.8818240715267193,0.8809966715573017,0.8017727095349538,0.7825474112077613,0.8258576768755395,1.0,0.6172653373227813,0.8284673225385577,0.9285736391266355,0.8407763018453249,0.866580703466662,0.7310954217846481,0.7988109048002204,0.8552910074027809,0.6784470190049786,0.6706771131451741,0.5572061123577896,0.8148618475712601,0.806047844117965,0.8266591983723147,0.8088172427733836,0.7349802819606598,0.8441565167479658,0.8809529894401115,0.7800919867892505,0.8621454258779566,0.8573712294784117,0.9137637070447088,0.8205118581059984,0.7186960909620717,0.8566444081425141,0.8821782796944598,0.7988778944932713,0.8999823995252929,0.8895106284267958,0.8098433067267037,0.8767380125836757,0.9161415451664116,0.8783358486806742,0.8652384698551503,0.8590331432938484,0.8502806610280068,0.7506484970878191,0.7930934441951315,0.6790121361747763,0.8861332394214935,0.7493735065679608,0.9072398605614124,0.814606241679674,0.8233436792012467,0.8379872605669778,0.8080052376708146,0.8926454162196676,0.755526202178988,0.8583243030598885,0.7620637025911008,0.7936400339626313,0.8871668082117194,0.7857930586916139,0.8259379634826575,-0.8999339799104962,0.8943036989456529,0.7475960485739974,0.8386037191221379,0.8394480571913556,0.7677033128911214,0.8145214699415917,0.773204321698374,0.07522911943696897,0.6193087889405244,0.8383987512648678,0.6551573582583481,0.7685969344304885,0.8024945783963063,0.8353695823606698,0.6360635277208145,0.8063223758066611,0.926173666587826,0.827727886689876,0.7780929146313419,0.8610132101746829,0.7942066390860534,0.9386117365111486,0.6336263712917046,0.691806339135291,0.7979720403146686,0.8776238231404175,0.8063254371525961,0.8582945277274688,0.8221338399998908,0.7639775771344042,0.8445868983754635,0.7660121080277335,0.8099465769955938,0.84977974804454,0.7440042612006353,0.3120276599653127,0.85198837391856,0.6588100927284639,0.6841110828892198
