,AARTIIND.NS,ADANIENT.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.8013234655997373,0.8058416792275851,0.8033642699093082,0.9194572006422276,0.5800520112749444,0.8813844466909261,0.8417431461212895,0.8115467185899373,0.6689648492688441,0.528849125843994,0.82540269811281,0.8349634536877236,0.6769450844440751,0.7634040162548674,0.8053601667421171,0.6206479591873415,0.6536576996571358,0.7677261470196488,0.8025327748009882,0.5435615299622689,0.6746281242139586,0.7235166321966076,0.7367864626339042,0.7217978242667128,0.8534329352761347,0.7219627404894757,0.679145976701502,0.5205647305197858,0.8180798890569094,0.562582976527145,0.6758421063647588,0.8580599976683614,0.8385294761984872,0.7728585920257693,0.7447977329947074,0.8603669819635433,0.8061028831253396,0.8585924484591507,0.8671290873986426,0.8258570404996155,0.8220998495784392,0.7284032473971148,0.8556585443558057,0.8265437452405257,0.6419407672727375,0.8449454318388345,0.7837068431495038,0.8450252008530711,0.601978580028901,0.7517648643804603,0.8335401435239923,0.6740890882130954,0.6151694190350495,0.7688850238940357,0.8087244639328834,0.7092870183675691,0.6718474281316973,0.39701739510968576,-0.8683823928336141,0.538343553492479,0.8004871710319064,0.7949560147289161,0.7822057633401236,0.6297847542825603,0.9027597733160123,0.7660354737433438,-0.23445500023268395,0.7925320939370829,0.7215614290833345,0.6499780240611202,0.7804155943861445,0.6488859983551327,0.7026907701805151,0.49016127039039487,0.775515242112237,0.7356562273184899,0.6441894117940137,0.577707153414008,0.7654473193132643,0.18940908377723165,0.522459427076345,0.43134994702693297,0.6242462510304335,0.717793348951958,0.8132120695771324,0.4578993926713213,0.8662697156314977,0.8919024139683864,0.8530115458483983,0.8538195408677003,0.786935824613545,0.8396426284987721,0.4197430833332768,0.7352506245529389,0.8677965547046893,0.40641712670168717
ADANIENT.NS,0.8013234655997372,1.0,0.8019696159188233,0.8033604723501727,0.7828406540214339,0.7860938083016614,0.8323998849885672,0.7727724620532613,0.8780716201151185,0.5655342822422407,0.4691598115942854,0.9064012278848306,0.7245981640748272,0.8007575794645208,0.6382254274085696,0.7688763999837269,0.8090381213233644,0.5645675853949375,0.7704427678786293,0.8666543029865263,0.5451564625990061,0.6887306547267744,0.6246990235952891,0.7914958413275378,0.8216215031574404,0.7575936955390173,0.7174425623609256,0.6822345387557882,0.48866825022548166,0.7698380138516542,0.5961021968900254,0.6100597545620818,0.8472357724505057,0.8166681897730235,0.8912512653155233,0.7767791827754666,0.8969024883890265,0.8385606891987314,0.8627354164512682,0.8507245901494814,0.8850403172994056,0.8022112197968785,0.8011502745727287,0.7493473089848975,0.8358133749931574,0.8248301834035294,0.7573501881725692,0.8282690672116335,0.8095612721600531,0.5179580494635909,0.8347636961521997,0.8113604225709238,0.8205824656428932,0.7196573453684063,0.7856873945211201,0.6236325867516471,0.7390088837183264,0.7213580911259871,0.3837696709063802,-0.8742572693370586,0.6304698444709987,0.768494195063996,0.7948461450243663,0.6950103626267392,0.5903089518026021,0.8703087668652689,0.8679580256881845,-0.3042514944515601,0.7798017886367423,0.8137768732385395,0.6513429612946804,0.8684946726146946,0.6042918787776841,0.8635819517502413,0.5512678956471811,0.7470717174609625,0.8213409584218213,0.7763752977616434,0.6131867980157444,0.7111450279328551,0.11320012701444217,0.567756574328264,0.42664361221748837,0.5617891554132168,0.6978658199333798,0.840762858364823,0.49471174533034923,0.8068493547184042,0.9107170296131432,0.802513609596614,0.8564443948831945,0.8006276464160705,0.6541325118577844,0.6456868112085007,0.7637037469950084,0.8537143070485491,0.3462492993607091
APOLLOTYRE.NS,0.8058416792275851,0.8019696159188232,1.0,0.8559252225467295,0.8182899441169552,0.7590083594627963,0.8706635659810013,0.8360334394412133,0.8843013186868454,0.5735487157979077,0.5810089583240123,0.7558318848589549,0.7574325522515196,0.798483369911774,0.6529593418579338,0.8878014728779919,0.6917970684210257,0.6176619639452624,0.7354529685833802,0.8674971657415159,0.5657433407232899,0.6874086641184165,0.7325872434866074,0.7441709292982105,0.8676654867937083,0.8696773726637071,0.8363217614629467,0.8295003465587482,0.4907003087930754,0.8272306567566307,0.5406456688960983,0.5772365293474092,0.8930281583907518,0.8569783357077333,0.8217715957477916,0.7350476457757035,0.8848233690950599,0.8921609694259073,0.8640148327425292,0.9234147335338091,0.9193516708044016,0.8088793685103713,0.6560667818113877,0.8286671524313007,0.7939187262331503,0.7082485596820327,0.8163954996527081,0.826575700197776,0.8837649685867051,0.5971895249190532,0.8107208263805107,0.8417146404037995,0.7333181050275814,0.7407082926854178,0.7659307963879558,0.7601448195407768,0.75768531115875,0.6645769552818863,0.3405852622715754,-0.9030351212533173,0.737763284290617,0.6810809101976135,0.7478387311280289,0.7623378614957443,0.750625989825613,0.8117931032172151,0.7751186480824314,-0.4920329700992415,0.8570772370698035,0.6689777309455069,0.6181459747994168,0.9083087425719569,0.7092788827510612,0.8042860449118863,0.5404234021996197,0.8409347887147592,0.7333313393332715,0.8543700663247032,0.8382704224729535,0.782544296408213,0.2928692272496904,0.6145150600237199,0.3703305164193741,0.6614151404135771,0.6773396411947326,0.9228220623831654,0.5593973676630959,0.8119811671703439,0.8037857480635516,0.857021089947055,0.8380475303686994,0.8743813935034092,0.7674465141905044,0.5142562053811154,0.8563328425864061,0.8240511408471038,0.447648698590714
ASHOKLEY.NS,0.8033642699093082,0.8033604723501728,0.8559252225467295,1.0,0.8384578282586641,0.722542025011613,0.859746858219632,0.8036612177498782,0.8839159831803388,0.49732446855849194,0.5539305040838055,0.7889904436271874,0.6801399380988441,0.6795033412482044,0.842465815633379,0.7989499275345071,0.7519744440358649,0.6768457470600072,0.815194661377581,0.8161493486925614,0.6083059282021358,0.6503206057082503,0.8664734866225053,0.760686504464724,0.7618850106321637,0.8036620032370294,0.7438929588522833,0.7385370897156696,0.4382367076420961,0.7726331166242766,0.48198307644565724,0.5704599600808522,0.8568944467809951,0.8130850626449162,0.7746172460207822,0.8645397700566412,0.8329497752909748,0.821446907935574,0.8533196748831596,0.8236711979596418,0.876589592377881,0.7796694129076479,0.6316395803925281,0.7452489812098626,0.8069982156865978,0.7778035650961315,0.8136345217806642,0.8196630582799859,0.8426370495817517,0.6184656304703701,0.7429305378797757,0.8351125538571709,0.7403085279209204,0.7850584024538411,0.6996088191442393,0.8208517688133221,0.7109459665332784,0.5884936381145361,0.34354568072512304,-0.8528539003229246,0.6230574056946759,0.621857188968635,0.7429711441071961,0.7402668626517469,0.623242892173842,0.7503524176153288,0.8313796395878222,-0.47066710924671784,0.8403808378493773,0.5817876640425721,0.6483383797380352,0.8501066383415372,0.7491364920190215,0.7641160556059622,0.552798942599782,0.7515172808590709,0.6817722224332309,0.771021190545388,0.6387772282990097,0.7292332698209008,0.2238007963200986,0.48948881448555653,0.37494250874877527,0.5881411125535839,0.7301444995009642,0.9135027158118585,0.41533305045316665,0.7757474563991982,0.7898529094535242,0.8201142563142494,0.8097840400337694,0.775875884045246,0.8191840474290639,0.5924568072209004,0.8632012801946585,0.8088544377119287,0.44503077663362606
ASIANPAINT.NS,0.9194572006422276,0.7828406540214339,0.8182899441169552,0.8384578282586641,1.0,0.640560207854032,0.9593005422618738,0.9210833349702028,0.7857574345198737,0.529722066361538,0.522997160817847,0.7473721344376817,0.8350582479033279,0.6921742251858908,0.7974449756168855,0.8742100610197966,0.6810017928651824,0.7719178200846275,0.7858914520780051,0.8373813112677247,0.5547903635753871,0.8290014526604823,0.7557198088103055,0.8477153609625921,0.722195727529405,0.8258499309445174,0.7330589015640793,0.725050450746629,0.7066008063128055,0.8231455418464663,0.48834840610088454,0.8265104485852445,0.9369365979830752,0.9139088602274851,0.854807643004774,0.815857502715342,0.8482401327590978,0.8891891661142864,0.9363942529158125,0.8490638685337372,0.8450557331195757,0.7836031309965025,0.655971623022724,0.8784917067981941,0.9451267724089342,0.6371116297339685,0.8498770477078955,0.865133475335084,0.9084401821436809,0.631581751637072,0.7202939926810003,0.8895458615684417,0.6786196080585234,0.6269745647504343,0.8666575570314534,0.8383901799277972,0.7192584790708134,0.6031215520330807,0.608040070900249,-0.860963640882454,0.5697818565540353,0.8211250559206048,0.892664413296994,0.8032297881433971,0.6360401936437254,0.8749801173881837,0.8185002881403834,-0.32502265469493175,0.8982652672675457,0.7477419500222532,0.6489277533045968,0.7939316713095949,0.6720481029990051,0.6816722602861192,0.5526864296938592,0.8358402494312226,0.6634277627061321,0.6433487205275445,0.610422018766277,0.7556918901305063,0.4298683207989177,0.5246335150776912,0.6523304807619867,0.6202498370179715,0.8604212556768647,0.8279596056553068,0.4519647797247629,0.8260089930761104,0.8404799177880103,0.9352373035894507,0.9014248029626203,0.8219598460261166,0.9117276751496254,0.45507296127167934,0.8131277884511395,0.9313764954412269,0.5488874163069999
AUROPHARMA.NS,0.5800520112749443,0.7860938083016613,0.7590083594627962,0.7225420250116129,0.640560207854032,1.0,0.7147196982350081,0.6520627692747308,0.6999715764968722,0.37436273870780556,0.5000088320233147,0.6823193426229156,0.5558661117529182,0.8577973285849628,0.45805465194538475,0.6929868712011032,0.9370431661873064,0.5454995833669597,0.5413911948401877,0.6528551618304685,0.48711759474470645,0.5209009135519519,0.5270706610425638,0.7998319902162822,0.8373728852405335,0.6439571736821759,0.6367298561587587,0.6265626537034958,0.3848633246534118,0.6149414775532138,0.4390989518488187,0.4570283916760892,0.7008646226259206,0.712312031699069,0.7128939486973049,0.5848259568289621,0.7572139905481705,0.7501150306224555,0.6770236985904761,0.7304103171672643,0.7656182482006548,0.7482424046453446,0.5205477877237886,0.5937004747879728,0.6446533933635699,0.8876668934213574,0.6166384780270923,0.7298048769073707,0.6894616228122089,0.40517666292570104,0.5606816786730847,0.6956490456199647,0.9152508967582277,0.5797124134540063,0.7320967305117525,0.5511852267141238,0.7147986412401578,0.5309003805510258,0.29221614940442614,-0.7131298276130869,0.5960409308325014,0.5179139222976149,0.6235214143865805,0.5914779652492969,0.4980841229655727,0.6583063726377711,0.6247260383281111,-0.4743592714254709,0.6724924653632606,0.5794699947652657,0.49914805250519545,0.8551562809342419,0.5527798307495353,0.881615678706914,0.34885546566287384,0.6544793596161745,0.5786427181198356,0.7660020006094231,0.6118751870505343,0.6264011462029662,0.10400041538307107,0.5447107962136105,0.3293299266989606,0.5086685346928533,0.5296228439462211,0.8025403537921928,0.43444510774420153,0.6661523890939599,0.6220706413317517,0.6604712126390937,0.6441949768774907,0.6628223202561129,0.59463230580252,0.7883044686434059,0.7830774133754448,0.654401035494163,0.39594242971307764
AXISBANK.NS,0.881384446690926,0.8323998849885672,0.8706635659810013,0.8597468582196321,0.9593005422618738,0.7147196982350081,1.0,0.9198496890795985,0.8538309939402291,0.5337504117213407,0.5672525824959866,0.7694750525382855,0.8271951009929563,0.7629475301432941,0.8035353413933944,0.9000788465345616,0.758308363093897,0.7296289667776651,0.8185149515376536,0.8574683302400679,0.5698452990854432,0.865195438374128,0.7087872973215303,0.8837843963895788,0.7980719001556406,0.8571463501475458,0.7832600664738711,0.7744690228403107,0.7200988453794885,0.8568945685543359,0.5061350776375065,0.8098907497059782,0.9705487336107528,0.9354536792355458,0.8993721896064609,0.8687198504123522,0.8977717154818331,0.9393972784812828,0.9444259306358521,0.8972544981461041,0.9399772215082466,0.823963311510155,0.700875687110636,0.8874929025801989,0.9511934086518374,0.7196153316647158,0.9076744410022913,0.8817720280426478,0.9395999364253387,0.6615794833262502,0.7695970239771435,0.911939911302069,0.7378053540435225,0.7336672370894183,0.8790617123770462,0.8046058916219198,0.7445714586345088,0.5668528910255425,0.6061033365306046,-0.8965257153106615,0.6529976224907412,0.7780669163923761,0.9190143140719151,0.7734665052839954,0.7003567385111779,0.8865661818517427,0.871759745709018,-0.39986989392653893,0.9183790507119529,0.710697988112187,0.7320148857382364,0.8770832975475218,0.6979004279608965,0.7817507890796995,0.5957874265387872,0.873197541109446,0.7331333753068847,0.7357820110772881,0.6983741381120282,0.7916792043292165,0.4138474819821849,0.5814385778563589,0.646309419575574,0.6805999742721649,0.8428581972972815,0.883996786714653,0.49442003438432314,0.837377739605889,0.8518866724944956,0.9621462714524869,0.9276318446750234,0.8788780845667766,0.8349204446361915,0.5514732767363796,0.8486161970340639,0.9445382964221023,0.4628715810163041
BAJFINANCE.NS,0.8417431461212896,0.7727724620532613,0.8360334394412134,0.8036612177498782,0.9210833349702028,0.6520627692747308,0.9198496890795985,1.0,0.7565076162097873,0.5676453721094272,0.6938414968657516,0.7094642682609963,0.8708075138837473,0.6749314121599188,0.6665084493856692,0.9546129637352699,0.6917885430462606,0.6341720615715484,0.7401495406549412,0.8628034496288504,0.7271349808593955,0.8520817493556737,0.6204465991598097,0.8818912202617143,0.6952299299857065,0.8349242915161166,0.8580263348062669,0.6801881888147646,0.7176199370773474,0.8761998059947331,0.4376492713527653,0.8494273944445635,0.8999305759831902,0.9478687011824637,0.8989451636804707,0.7680771688084354,0.8772203233430749,0.9302906705194199,0.9284009717314929,0.8647019951438426,0.8227013542067916,0.7722654230251349,0.7390042938075371,0.9228723235266469,0.915370545902288,0.6279079988742297,0.7951942665590588,0.8872965184375771,0.9422283304132812,0.7775877922799188,0.7747724876151019,0.943757920216417,0.6212779686600931,0.5860660608411657,0.848645947723732,0.7042281564467032,0.6117433731853289,0.5693807142303202,0.640828123651493,-0.8204290177037092,0.5747142385218149,0.8095412223625917,0.8833473363064073,0.9144409146051873,0.6596459288600665,0.9094088770498973,0.8152386893762633,-0.30893323999405575,0.8414051198117235,0.7209993158572358,0.6136430195250285,0.8547263627724773,0.5507519320329842,0.6877233940540295,0.6597500598269587,0.8825314217850802,0.6599657757042439,0.6536908292878455,0.6923390854567402,0.7387331442271708,0.45222723795951264,0.5565270425380773,0.6694421252774452,0.6376892271598079,0.8276789408924359,0.8823665520445602,0.4802925044792586,0.8598185253869365,0.7820655668623194,0.9453714050766105,0.8460790790175956,0.8336021302004246,0.8674827665806105,0.47600583269634816,0.8091530059215352,0.9088807020137111,0.3951686808200703
BATAINDIA.NS,0.8115467185899372,0.8780716201151186,0.8843013186868454,0.8839159831803389,0.7857574345198736,0.6999715764968722,0.8538309939402291,0.7565076162097875,1.0,0.5648818662103589,0.4676936891249129,0.8262144798307736,0.7107258675169789,0.7224481697348432,0.7851337157928819,0.7938722949724696,0.6942321553798946,0.5732458444307466,0.8339626061846771,0.8547838681502082,0.5370831126974723,0.614815415739025,0.7620863606206564,0.6608744981473359,0.8290053944802038,0.7663369982243354,0.7167619549449138,0.8230871559893472,0.38678809359559874,0.7721802611457956,0.6068343950201077,0.5108611345036067,0.8326190511783316,0.7685286508457432,0.8340212059830455,0.8200687005452187,0.848512219617311,0.810698446263373,0.8173704568163586,0.8546572688319175,0.9325281281558919,0.7549867797883417,0.659424271071691,0.7600745586567224,0.7764785198390144,0.7353276480282268,0.8772594816958582,0.771219586781099,0.778496447364409,0.5149884758651734,0.8235716016077176,0.8003691725112624,0.7460388675343853,0.8688244071377578,0.6765505530897581,0.7478087081337748,0.7480356410341172,0.6795998536712241,0.2598510447911532,-0.9044268546430619,0.7480517495920959,0.644082080474413,0.7337150817870111,0.6761050297967263,0.6603940773133493,0.7648165614306118,0.8738657834195244,-0.47705618033354275,0.7895901331581399,0.6721533949018244,0.6620883546916954,0.8751925341131392,0.8124027317060416,0.7762667711201562,0.5163340589318003,0.6997450338873811,0.7582785891097629,0.8539006993395161,0.6954057139336866,0.7531242224009701,0.11139002927404028,0.4696562905777605,0.2903465913491581,0.5853569138838719,0.6508029287075547,0.8662252018451017,0.39002069964321556,0.7535191876535597,0.8367134169757465,0.791008404607448,0.8289762926377374,0.8373470962150026,0.7003329425815793,0.5357744856339407,0.7943256526777992,0.8062048300436532,0.3070871028441971
BDL.NS,0.6689648492688441,0.5655342822422407,0.5735487157979078,0.4973244685584919,0.529722066361538,0.3743627387078055,0.5337504117213407,0.5676453721094272,0.5648818662103589,1.0,0.7002201814227202,0.5445525290647966,0.5114491533936883,0.4511344841895225,0.42900851349693436,0.5959607126222527,0.41567846776714207,0.3432968134021194,0.5371116869235578,0.5865072071446913,0.4962837890589572,0.44728692862728975,0.3574252688884607,0.5205350643290246,0.43851332083460937,0.5303757742269045,0.6146282243963198,0.3662031820090907,0.29800164749825564,0.7989732350690689,0.586037780076248,0.4060337118206488,0.5565603387266005,0.6207402615061602,0.47791300473082726,0.416843154654652,0.6502600810249153,0.5333379775520753,0.5208568233192589,0.613675310758253,0.5438637329979348,0.6228527989294543,0.568268872708224,0.5335902746772013,0.4996264499693965,0.4006845471419828,0.5260454056859821,0.5005656090053808,0.6361131411585832,0.7276759307086779,0.49743105630257617,0.5580196961410544,0.4279241930802602,0.40446402165596007,0.5108197821002797,0.4357548917904939,0.39320330679241994,0.7134147379212504,0.26270136755304896,-0.5925980035813592,0.41913368115887617,0.7295358006507755,0.5329830355291948,0.47057168516878606,0.438070426882104,0.628201773828185,0.48797981450112365,0.07123735512179571,0.4700109855732729,0.6839436612050983,0.35201352700700705,0.5968859268654038,0.3811742986172361,0.442157991285509,0.5106434987150752,0.519754359361796,0.4807588311216544,0.5163644013151636,0.3770290751311546,0.5557710604204288,0.04133809237355897,0.3169196565589586,0.25088524343478075,0.4090342634977563,0.4118010045042152,0.6428993288045028,0.23015713779095412,0.8458500359387543,0.6063133583390236,0.5534184784038599,0.5958754609814851,0.5530202694342832,0.3814585347864834,0.2940671052718192,0.4775704047422431,0.6029684066508708,0.19240934186676997
