,ADANIGREEN.NS,ADANIPORTS.NS,APOLLOHOSP.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BANDHANBNK.NS,BHARTIARTL.NS,BIOCON.NS,BRITANNIA.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,CROMPTON.NS,DABUR.NS,DIVISLAB.NS,DMART.NS,EICHERMOT.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,MGL.NS,MUTHOOTFIN.NS,NESTLEIND.NS,ONGC.NS,PIDILITIND.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS
ADANIGREEN.NS,1.0,0.4389191167582717,0.5151966984255849,0.7456610885573638,0.44942214377197554,0.7144432594048084,0.5124157572683651,0.4316907061615472,0.3706247127712407,0.9335336179490572,0.5968516671591599,0.30095008492263575,0.5259602923545383,0.6580227780871332,0.5273021348069716,0.49813318343042545,0.686015731336748,0.289675228387639,0.5852200169507429,0.5529078278597505,0.7900941581598163,0.8079343549459944,0.5528535547046858,0.5613334980710675,0.3622283636563025,0.5025408860934666,0.6807819376540883,0.5807886217381573,0.5650461731423023,0.8762078522117593,0.6098732640581181,0.3696342494241262,0.7170583069738786,0.8503237834158186,0.5397090020650561,0.43999751555095934,0.7267356397942484,0.8474803265624501,0.2206497184808479,0.2677036448219586,0.8642641047867149,0.6710136795525566,0.5974721429355649,0.4601764808000035,0.8617163089581693,0.6320437672247635,0.3877158059875027,0.5743003024138337,0.401591173783292,0.3613110361854342,0.9560288828134887,0.752988477308952,0.4159171688808528,0.382755347441377,0.437051810643901,0.615418613795069,0.704032090469992,0.8907504424626214,0.45069560903919337,0.8065841726589769,0.6468897195825064
ADANIPORTS.NS,0.43891911675827167,1.0,0.8772459590050645,0.7924126770235268,0.9096997112908417,0.8791778533536481,0.9245005500580297,0.904479218883277,0.7728461660040047,0.6378024717393925,0.7840326316655033,0.6365654417910468,0.9076091001849421,0.8651253585406293,0.8934690208924765,0.737385812451499,0.8515401264131024,0.5785070843368321,0.7338777327519093,0.7061289396351785,0.8141520627659941,0.6934107263924862,0.7874006054899029,0.9115601530298952,0.91168682879116,0.8499525221845992,0.7992666140741012,0.8868768641627592,0.9144254585570697,0.7460817557754943,0.8790600935552084,0.7233990766136585,0.7231781231474422,0.7997226466215401,0.9182101103169786,0.5848960063003135,0.7097751626945983,0.7345918199041003,0.6116880828986794,0.5955824548479247,0.7340862491963253,0.7550457311360911,0.8187264465056238,0.7926916305259398,0.7844127369158559,0.8489547681666633,0.7980695020946439,0.8501451136502004,0.7505274025622328,0.7717793057314944,0.5960943594702378,0.7376038789743324,0.8302831707366177,0.8869692192665503,0.8488157611957972,0.8692973386311398,0.8284285214861223,0.7257845043955855,0.8700924867361904,0.7670203275260508,0.8794848836014688
APOLLOHOSP.NS,0.5151966984255848,0.8772459590050645,1.0,0.7088981360256967,0.8531503850159867,0.8595227772723033,0.8804532967078329,0.8390666517389327,0.7071559967130694,0.6606443599772568,0.6990613043537521,0.7348225732138386,0.818020155892236,0.7704748837706356,0.9012732558833465,0.6670393557048434,0.8601411992005766,0.5029687363345869,0.667919151740791,0.6652902484651617,0.8509831769947639,0.7118635583493376,0.6942767673066472,0.8626418222790458,0.8929924631898505,0.8784234642318413,0.7891767057144646,0.8065562069576847,0.8357987836525296,0.7282231808781893,0.8419583956143482,0.6853270226763998,0.7092119476656272,0.7887835144825739,0.7932615629399548,0.5221167475601669,0.7071077986588161,0.7540066918690169,0.4155445579561239,0.7464313328253651,0.7329616844490724,0.8573246805848899,0.739901126488521,0.73409824995782,0.814973376770234,0.7368209725536471,0.7274038314606597,0.6942356468058389,0.723838412132119,0.6211980950822429,0.6786441992451546,0.774599595380898,0.7393769413737948,0.8117767442407395,0.7895419426685613,0.8409270204006056,0.7912496302437582,0.7796952574772488,0.7877266876317306,0.7922788687335907,0.8273351594087461
AUROPHARMA.NS,0.7456610885573638,0.7924126770235268,0.7088981360256967,1.0,0.7777714090779936,0.8694607192770891,0.8417824894080557,0.7464627609398737,0.6770357777612748,0.8845924341830005,0.9100963103775197,0.4848781019888831,0.8175929646555807,0.9065309882275151,0.8110324092812262,0.7293325913512061,0.8537114188579482,0.4665166368722484,0.7596255685842423,0.7875003612401409,0.8568503899917247,0.853680210349819,0.7054610930492078,0.8268655942903559,0.7064846941849,0.7554992313857105,0.8773251842720119,0.8743473917659388,0.8620360554517319,0.9045786190476777,0.8784595567349589,0.7347529332171058,0.8461095993371687,0.8907277233595232,0.8489833073558931,0.7416480054219456,0.8265892834721839,0.889412044439679,0.5387954746015604,0.5219072924623346,0.9037516801985688,0.7617593148393823,0.8914662808180075,0.6843632783946899,0.9003182841642952,0.7785518856327446,0.646731597634836,0.8378902654549008,0.5879640356917089,0.6569976388241768,0.7953833368296341,0.820891072789929,0.7124367277064801,0.7148792426524753,0.7392187786700506,0.8650423148931253,0.8824984824139163,0.844891711899618,0.7631732661659568,0.8904392367428009,0.8899404681791208
AXISBANK.NS,0.4494221437719755,0.9096997112908417,0.8531503850159866,0.7777714090779936,1.0,0.90129793035961,0.9433783626065236,0.9567906823753808,0.7941252654073051,0.661420887743361,0.8098276636862229,0.7239896469050854,0.9180538508252407,0.8588442242605248,0.8815583724482846,0.6711108282963635,0.9305675875777852,0.5065159320957331,0.778709040404147,0.7044101251415119,0.8256395942921446,0.6964141349277776,0.6879963709202871,0.9260796539605222,0.9583186416951295,0.814352169088962,0.7868286618311682,0.8958413820012683,0.935279914686763,0.7206587161792717,0.8435001645513298,0.8212446065762086,0.6995069813196652,0.7745710151108682,0.8600697967866069,0.6259381504315491,0.6986245031048395,0.7868053261179672,0.554769962677784,0.5551878527750111,0.7808927036422212,0.7277057121764191,0.8533242940808359,0.9094356421904304,0.8207787600011491,0.809200216556287,0.7875227696954332,0.8031407370956143,0.7951166003761209,0.7296379245757982,0.6220797062172726,0.8268393232680256,0.8160954028129563,0.9393516652476777,0.8295614570543207,0.8613264289008845,0.8930864794056834,0.7514737423161901,0.8592391097814036,0.8034213058573129,0.921786709525254
BAJAJ-AUTO.NS,0.7144432594048085,0.879177853353648,0.8595227772723033,0.8694607192770891,0.9012979303596101,1.0,0.924446138719499,0.9068393048146742,0.7963343721991445,0.8593166125942964,0.8073239480964335,0.6270399498154786,0.9090934501149247,0.9044213690180644,0.8791563106290943,0.7656886675451405,0.9345981186990125,0.4956074853337925,0.8416056249324425,0.758898769632905,0.9351015933115859,0.8705628989749435,0.7373800590440027,0.8963656080891551,0.8628980240865123,0.8316829463881112,0.9128029842233337,0.9047288340855942,0.9395328428603026,0.8968032987757251,0.8639929394379683,0.7058536637208694,0.8180423876836637,0.9045899188557722,0.8978754835894541,0.6087338836104111,0.8441602714543849,0.9216107913722149,0.5342808902857703,0.5838117426135503,0.898681730149475,0.8517536607671015,0.8458534511715003,0.866679130442028,0.9549264356797229,0.8515925764559374,0.8043314145548593,0.823362870600251,0.7741351492690391,0.746220111363426,0.8382431132336413,0.8629583175655251,0.8485594522883501,0.8639124464033422,0.8114040286427754,0.8882766120228653,0.9145709738250185,0.9108096269901051,0.8286250897107157,0.9313630068317804,0.9369081901624201
BAJAJFINSV.NS,0.5124157572683651,0.9245005500580297,0.880453296707833,0.8417824894080557,0.9433783626065236,0.924446138719499,1.0,0.9393827274942645,0.8908280109682319,0.7053196941281599,0.8237549558823919,0.6208228026443041,0.9343953580671647,0.8852301736575585,0.9201479977394068,0.7434133725523782,0.8946063372187438,0.5416355880628747,0.8750811052801134,0.8455268918358155,0.8526071911313872,0.7836213409963428,0.7663309251778375,0.9356935359827637,0.9345955590715468,0.8654712182865946,0.8912292058429747,0.9274939167358272,0.9534459539623261,0.8064849761056591,0.9077353762030025,0.7864123214971044,0.7992995178101695,0.8192489822759068,0.902009546373299,0.6572430511471301,0.790636202507574,0.829017073911945,0.5501329431689495,0.6398290028726971,0.8200977748550617,0.8132521459467155,0.865375439825815,0.8637117728458046,0.858393628479789,0.8148603603305159,0.841580568247309,0.8532766532278255,0.7649361935201021,0.7497309315361207,0.6683711045975522,0.8170001633989759,0.8653507581220056,0.9386883682077221,0.8515689033007138,0.9028345253385076,0.9215224050496377,0.79092481097154,0.9464227638332826,0.8742345829451198,0.9244329294895379
BAJFINANCE.NS,0.4316907061615472,0.9044792188832769,0.8390666517389327,0.7464627609398736,0.9567906823753808,0.9068393048146741,0.9393827274942644,1.0,0.8348471946151591,0.6425095404653889,0.7227763930392329,0.6140331822765325,0.9069078729418127,0.8525389572748168,0.8662712158400487,0.7114491365865541,0.8843007608186139,0.46840147079665084,0.8175639195991801,0.6890991795400814,0.807305736682565,0.6931633357809636,0.674048343222223,0.8986101874435017,0.9354986057874543,0.8355543381832319,0.8148758143188328,0.85184660986381,0.914668244015322,0.7108775827453676,0.8121047725056711,0.7571087819490708,0.6723774226599925,0.7378311161243385,0.8595274821389448,0.5669222840828098,0.7171783734404009,0.7581975848137826,0.605100294481308,0.6179623810219044,0.7303475855870497,0.7554445416398204,0.7824962555433611,0.858096533242508,0.8007584162528262,0.8062808848393013,0.8374149772335624,0.7724811054729344,0.7787289349646458,0.7585030687110867,0.5883380743452142,0.7679445633842321,0.8841987479516003,0.9195437873772871,0.7783384167512291,0.8383237845604254,0.8730542349072546,0.7333151372539936,0.8566777894411911,0.8061445191455893,0.9005402418197959
BANDHANBNK.NS,0.3706247127712407,0.7728461660040047,0.7071559967130694,0.6770357777612749,0.7941252654073051,0.7963343721991445,0.8908280109682318,0.8348471946151591,1.0,0.5609309240062756,0.6358649143939671,0.4763288412134471,0.7941681568411934,0.7187724311134609,0.7590799402150099,0.6086832113928451,0.7267069996076925,0.3707248144585626,0.8764554704371204,0.8617509394824776,0.6459431429208169,0.7358073635405745,0.5869048846431887,0.7425374743586873,0.7641354870187377,0.6499256754189333,0.7919949370598015,0.7976597667138041,0.8322719749372385,0.67450329732954,0.7436287671265558,0.664394846093774,0.6205520860875945,0.6256511432917637,0.8086505484747856,0.5842928796096231,0.6214979075877822,0.6681464135397223,0.5045337404443879,0.45560305973081994,0.6307739715267153,0.5889881703985822,0.7045286717196507,0.7117491149716227,0.6884481693650422,0.6578663066078793,0.9322837364076118,0.7608339409875534,0.7649021778136726,0.6780202830236844,0.5140934648762916,0.6393717283085886,0.9123394230472887,0.8343959328836156,0.693040680513294,0.7343939809970035,0.74162378151303,0.6550538155148892,0.8592702173764917,0.7818328142763891,0.7663497389391428
BHARTIARTL.NS,0.9335336179490572,0.6378024717393925,0.6606443599772568,0.8845924341830005,0.661420887743361,0.8593166125942964,0.7053196941281599,0.6425095404653889,0.5609309240062756,1.0,0.7878336289343613,0.4332705387260799,0.6749231773218353,0.7896353342009396,0.6956633639256478,0.6102516760151336,0.8350096773238418,0.34548559718760363,0.7141230811426927,0.6847738235864884,0.8832716052742509,0.8649317677944582,0.6280506075267409,0.7214588861359706,0.5692565633476984,0.660787196869581,0.805544957596513,0.7366444445701986,0.7374594700833831,0.9281912610585753,0.7466929283474766,0.5495092378682987,0.7820838054541215,0.9184996610602173,0.7177613620124146,0.5659091870175816,0.8048525617522575,0.9066452337955969,0.34478674386254177,0.42926186987296383,0.9097747443662906,0.7703534094490199,0.7529477813991408,0.63159924185935,0.9346283866941343,0.7292909202700919,0.584488416328172,0.7057014230982873,0.5838277714455989,0.5200205390331092,0.9497843869621844,0.8521382758595107,0.618849647199689,0.5826318352202892,0.5861894839988361,0.7563057572796625,0.8371017425468344,0.935189866714143,0.6045903762787221,0.8883960983012557,0.8056792058498692
