,AARTIIND.NS,ADANIENT.NS,ANGELONE.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CAMS.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DATAPATTNS.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAPPSTMNDS.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,RAILTEL.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.6090290967089615,0.5152584533811516,0.8588468112954709,0.7128968317953412,0.7185052374321814,0.6678585444818587,0.518370145583437,0.6297282640142842,0.6833192419812629,0.7641658669541673,0.8039964606770497,0.6259192277938663,0.7058759142428322,0.6271857786690334,0.7142601020116898,0.7556359630006619,0.6572716121461488,0.6440026198514182,0.5480577343231057,0.7981554185327348,0.7393966363293633,0.6772065139921429,0.7376423773274158,0.6307124805095309,0.8084706329875602,0.4580006986855878,0.8414699727528254,0.5545733501947205,0.40045990098114914,0.6329743548240799,0.8029011310969103,0.689644702678244,0.5567258230896145,0.6251471066921156,0.6695430336209702,0.6074703853453964,0.7145129320783538,0.7491118241754583,0.6173828921649521,0.7095269075941321,0.6375149175864947,0.6412146557581713,0.713200456350521,0.6452142658129574,0.2427997894118057,0.6268688675315077,0.6599812787948041,0.601974108572062,0.43825400446424007,0.7293424507387302,0.5467696946523912,0.5248279565181966,0.616343261661048,0.4730375321912493,0.47052355460121725,0.6667687061214347,0.7250696274416701,0.5917062267353377,0.4351428012262488,0.5789227589878455,0.6075594457880834,0.20062625052537428,0.6854476071922148,0.5557237253978622,-0.7591908418720033,0.7684238121034634,0.6369759692164941,0.7912776860814349,0.596310003778527,0.7181469846090839,0.665821685554214,0.5551042476735941,-0.7386422938110526,0.5889892411072252,0.7332686416774131,0.8702478657701214,0.8556991059219988,0.7664384476647509,0.7580575792896913,0.4120727167016627,0.58974774685826,0.8233350789541043,0.41263060279617564,0.45624804886448855,0.6063749319263253,0.3420812510682932,0.7375487583329499,0.6752262915123525,0.7756707873314191,0.6766546450284393,0.6718693140416003,0.9048022164813156,0.5263263713113462,0.7490699912817851,0.8095323739147874,0.7172678828209202,0.6283073049598116,0.667058842137982,0.5380502449871797,0.8046438386344713,0.900503332811364,0.6552247910853976,0.4957800082027929,0.4787508939143933
ADANIENT.NS,0.6090290967089617,1.0,0.6102109078403036,0.8217702951204934,0.8601138556046947,0.7321782836600045,0.9234682999498204,0.4703516175059881,0.7111302376221861,0.6329083355260167,0.5650882645100822,0.6641805907501287,0.5758983754963346,0.8962958193429856,0.43523221396828377,0.7180362486567509,0.7678790664378069,0.7276208659461887,0.6568329665144473,0.49733566908183313,0.7783348323112018,0.7874587049079352,0.8406150962441876,0.7945796951041341,0.7503757230264033,0.4728844029636883,0.5418371827117648,0.40217536257232817,0.661009247841794,0.5514383775645016,0.9257454267821993,0.8555357111492309,0.8134475116827034,0.5480288701133076,0.7208045828607604,0.6116572165290474,0.6000699108935236,0.6812051732577956,0.7534352916009983,0.7287122638095054,0.7980713311858625,0.7020773869884229,0.7139394289860188,0.8291370161964252,0.6568688908267281,0.2670086138660505,0.7945111558943022,0.7655941129969156,0.7135474984408154,0.48571490314420446,0.6310938665475703,0.5028134779294195,0.6520035861700777,0.8016921366683024,0.38516865654608473,0.9648545965571578,0.7890180137891396,0.7256179618160001,0.8635717423560186,0.5931910966335473,0.597803374368451,0.6867783810845917,0.2646688037995918,0.7907725757912694,0.7849988430550057,-0.7651500218340992,0.7888988094279501,0.48934855524275006,0.6334879903694254,0.7480273060844144,0.6006302775266038,0.7583813824762274,0.9117874288430912,-0.6699322428351423,0.6490973095505256,0.6491924311506818,0.6621167647592143,0.45420554482972303,0.775791720389896,0.6186806253964108,0.5006040158525301,0.5656116516916626,0.7334644429838504,0.5581612119752258,0.5468173378831002,0.7196381026497997,0.40384599234654367,0.7044755668553976,0.7063860451919758,0.6079406968934397,0.8096006126299359,0.7819151081710443,0.5707925855467275,0.7080224712019912,0.564231904280371,0.3645996891301971,0.7670166932947486,0.7446846053259467,0.7965731338192195,0.6087223481788733,0.7405682109493438,0.7227355844341247,0.7572149395361374,0.4856003991713556,0.6681111513148311
ANGELONE.NS,0.5152584533811516,0.6102109078403036,1.0,0.6154060920505178,0.6288519712242862,0.5712610149365317,0.6467647652563574,0.42505804785610146,0.5889046808007468,0.6260123277489774,0.4957675366791103,0.5013535267373256,0.46747719262973514,0.5731664872305209,0.40108928441543107,0.663117619767396,0.5928501081734388,0.6534413905398836,0.7217679893830439,0.576274441033265,0.6442414008221049,0.6109999480169866,0.6367543730637465,0.6155050673640072,0.7472222464342099,0.39863324102167325,0.47224370267931665,0.43291201498157506,0.49433537824628576,0.37197670269738176,0.5519038443142901,0.6477838041245114,0.7309232484472513,0.6285441251692102,0.6198272618623839,0.5499689925183189,0.7232457382237287,0.4826248155227501,0.6796975569846605,0.5559415375098661,0.6100191098421783,0.5646110886514805,0.61051796581686,0.7967686038889957,0.5197656788399353,0.2410154517556177,0.6661373211118355,0.45748872066475016,0.8178628403742229,0.500106119688126,0.5204396960484402,0.4465129696295196,0.50867575905709,0.6760991349618555,0.38508074880876125,0.5136882141046637,0.6271588211795857,0.6792409264264317,0.6770588699950241,0.39671255159681296,0.38498733031670984,0.6434134994002562,0.23066388468538504,0.662207426226086,0.6327912745115959,-0.7107838810446996,0.7500272448082606,0.4464483167415537,0.46431015218863864,0.5798778388371402,0.5214657985996847,0.46851287014724674,0.4769278082497208,-0.6477359305816986,0.6580547664015431,0.4742230595534359,0.7055822932387994,0.43307674732336554,0.6018281082436303,0.49346209348109576,0.45407651928399057,0.6581628784768383,0.5842323269338585,0.7387291400557104,0.5268854538061907,0.5905972259957248,0.3766018094965572,0.5945267939626283,0.4454347063966269,0.43713901695560187,0.5278908954415461,0.6139343756789484,0.4257799582466276,0.5834346854166016,0.5232084501392106,0.37338503881799034,0.6346109852190974,0.6900917161698557,0.7435406165921978,0.5193132249747793,0.6236522560648959,0.6249556018525392,0.6447701297581081,0.5568122518395316,0.6907776048493877
APOLLOTYRE.NS,0.8588468112954709,0.8217702951204933,0.6154060920505178,1.0,0.8517891854085559,0.7460273728891119,0.8567212888978016,0.5764492023801764,0.7429442284844878,0.7118173196783054,0.8330837590832538,0.7815184183453786,0.6900282435686098,0.8516821348233834,0.6715835435874196,0.7259601826423357,0.7681806115527369,0.7537372961949254,0.7657170864534066,0.5202145342846732,0.858461413112854,0.8117745504140101,0.8498189456739496,0.8577016468963945,0.7545909021305622,0.7816319909523601,0.6313507401104445,0.6691889082234039,0.6591924801694959,0.5922412957048587,0.859043680733882,0.8884795153877119,0.8521660279407839,0.5416913971811074,0.7541989110680309,0.6505400222033342,0.6189875568368689,0.7729353803549395,0.8192134212307391,0.728380061486873,0.7609278272474548,0.7977860723762566,0.7503454915698404,0.8688612625758615,0.7601017471726133,0.36646540886751955,0.7581634796716343,0.8074846959801618,0.7045385768398097,0.5201940636247175,0.7845192065557037,0.6229527564824785,0.6994204856326495,0.7868241569046275,0.6184446974791348,0.7389060779301718,0.7932174751911115,0.7238775476386238,0.7901392150696042,0.657521144944783,0.5964750001325637,0.657615326230271,0.37391490948977546,0.7490664070521922,0.7431243384790686,-0.8242819692526882,0.8663111763761419,0.5355858807413558,0.8377171248227028,0.7617643132088154,0.6519231390354447,0.682857547962156,0.7497625171231932,-0.7485066072695352,0.660199173215325,0.746454866855178,0.8384278803262587,0.7864117775558912,0.8754621448019758,0.7885089912711719,0.6034792543272995,0.5339169343876642,0.8677512379252899,0.46645486265239083,0.5980437855102024,0.7406626634585343,0.48957981867083156,0.7786452679383473,0.6483268939322938,0.7547633311211079,0.7753078616143847,0.7803969929464434,0.7755723330544655,0.6952105846016282,0.7014904202580883,0.6387468758014766,0.8078320134875131,0.7554818100905345,0.7932136271650186,0.5958338575083182,0.8281229454702462,0.8723936074320936,0.7852983700399935,0.4746088969034394,0.702242540257558
ASHOKLEY.NS,0.7128968317953412,0.8601138556046947,0.6288519712242862,0.8517891854085557,1.0,0.8796515084755628,0.9229561355024196,0.6837902000281754,0.8329958924045655,0.8626135713144821,0.7296660550027039,0.8422290814382,0.7141174767355922,0.9231703695929037,0.6029899700506175,0.8876877317083807,0.9265465281652462,0.8972158441018816,0.8588826508863421,0.6812159807943458,0.9208136292282129,0.887752463810224,0.936014016499707,0.9471028028777119,0.8531928928420098,0.709779414586251,0.750848642281384,0.5276695280731939,0.8380621024349053,0.7427389731487919,0.8967996123532922,0.9314857037849484,0.8684700159317528,0.6954561683238712,0.9037093424253755,0.7991414754848306,0.7741342239267112,0.8152203910092469,0.9209225880950248,0.8980302404360713,0.86781871793465,0.857194506318077,0.892018588699971,0.8809157870099467,0.8171728539440389,0.420811890280303,0.9164684084107864,0.8435313616631541,0.8385667921494485,0.7095543504707824,0.8243532227466603,0.6571967949986848,0.7901484375420298,0.8988921750912872,0.666723944712188,0.7820222374430221,0.924175387947446,0.8500085219430116,0.9129468055509588,0.7688058656203123,0.7349073164747139,0.7990360163425868,0.40409292112568046,0.9038572633177411,0.843342996230761,-0.9195664660228356,0.9050814463571127,0.6378907052518498,0.8271380979980653,0.8912564347525826,0.7066694905158677,0.8547201603467647,0.8721845471350284,-0.8634475456264314,0.7440026388471069,0.8148576497884361,0.7827139133918383,0.6007537788438166,0.9115045449606504,0.7499770093501167,0.7243627614785518,0.7393591392832289,0.8745908010517348,0.6391079813404974,0.7169081894162492,0.8500781358888694,0.5734748223881363,0.8789092008054803,0.7555687658818359,0.8076551538367933,0.8563423425463932,0.895189783659471,0.6933716090432437,0.8455729765601685,0.736753778931838,0.4882774622101554,0.9076478013869113,0.911758548074211,0.9057112149596502,0.7850220838163722,0.9338852019610606,0.817912099654598,0.9061268988464789,0.6103271386705137,0.7662327172594396
ASIANPAINT.NS,0.7185052374321815,0.7321782836600046,0.5712610149365317,0.7460273728891119,0.8796515084755627,1.0,0.8458665853745678,0.768607811189635,0.9133924739693411,0.768456380526971,0.8118315472020096,0.8161406618243165,0.694766953806758,0.8677351259912117,0.6141472697815746,0.798962587822823,0.9338966879860021,0.908821957893901,0.8315450610500654,0.6362202143183346,0.9150885681260061,0.8966661522080801,0.8976547547290097,0.8253767014161117,0.8450518164879235,0.8021699071522642,0.6681630462044372,0.5483941669890738,0.8277992616274717,0.6219849710815053,0.7410334177108753,0.9235183957848259,0.78596503160098,0.5778111824840126,0.8890943574151331,0.8757071617417289,0.7541114395235345,0.892825824600884,0.8790976680360365,0.7701150566876925,0.8839267161238007,0.8683469131836329,0.925697419695234,0.8207594236120235,0.8398991605344183,0.5509583882448206,0.793324126457832,0.8331613853339274,0.8147958595287409,0.6526278163742748,0.8891515864741627,0.8086390250469174,0.8674354200305388,0.8560142503378361,0.6576934182289437,0.6430460018610618,0.8571721317934038,0.8747241564935084,0.8640542437630754,0.637955894876718,0.8316899844325902,0.6428395820156072,0.3977141481346239,0.8164617092548987,0.8575025009680215,-0.8650597113571075,0.8773862970005365,0.759161131523246,0.8777187059955137,0.7496842336905936,0.7009496815445687,0.8576663888766721,0.7719928634101523,-0.8293040046277529,0.7025835372172087,0.8370750294408276,0.790878272138904,0.6555279607472579,0.8396843065222142,0.6126521348610284,0.6059789564456396,0.6619243971447136,0.8525035083614487,0.48126116413816505,0.7034999015130837,0.8776788728278809,0.4995951496811934,0.8893531564991817,0.8129010562075358,0.8253697022461138,0.865779015525305,0.8496450103934349,0.7221753336798046,0.6764183634866099,0.6731906107657358,0.5206395833994166,0.929181560323531,0.8510146109370625,0.8802945328817984,0.6948874498775642,0.8973702228769339,0.8042177500304589,0.837355026209151,0.552139798772731,0.6944616090217639
AUROPHARMA.NS,0.6678585444818587,0.9234682999498204,0.6467647652563575,0.8567212888978015,0.9229561355024196,0.8458665853745678,1.0,0.5623978518742894,0.8257072838689703,0.7695864747610607,0.6766246979574205,0.7235143895425131,0.7167729013676599,0.9383084511128736,0.5691372059424731,0.7648038442760087,0.8569540172768779,0.839894446541215,0.7910859540991149,0.5729452322520864,0.8801480147487324,0.8812797297191746,0.926240239566798,0.8838933576386716,0.847213434973196,0.6486928436201109,0.7065005525709626,0.5329112089027341,0.7403285747929065,0.7456026532646355,0.9119664835127702,0.9494656153558543,0.8444918447390801,0.5574443782226189,0.8433327083107709,0.7098279532721782,0.7124421722252919,0.7657864994148811,0.8851930003949559,0.7815172648340049,0.8751485089231987,0.82293476198092,0.8351921716323764,0.8535686584175013,0.7660144035759461,0.45470355091358783,0.8326331830425767,0.8603424545816376,0.8567199486901793,0.5637831952778265,0.7774975220708077,0.6672129510548725,0.792031171423462,0.860648542416514,0.5528602508185019,0.8886117537808488,0.8988506571983121,0.759383694129112,0.9131631671839999,0.7505218603770052,0.7233901574042257,0.6687157603873629,0.35966151442651434,0.8353287628229246,0.8691634320033446,-0.8639337524723881,0.9009837090667587,0.5635093808405626,0.7906990160844756,0.8920009317717132,0.6979444619597601,0.8139935172321874,0.904123201455533,-0.7663188022015801,0.7482468271155799,0.8217438254496798,0.7850682829306327,0.555192997767826,0.8588926764147523,0.6533187279415171,0.6489674186801137,0.596932875978296,0.8734718229301556,0.5866683294077562,0.6566506866719549,0.8393186236453594,0.5111165088923059,0.8338090530916051,0.7838606640895233,0.7285764219865861,0.8955211697870497,0.8986391959676187,0.6254874939508972,0.743779803703039,0.6833805594774539,0.48260483787773395,0.895092111218985,0.8779629653418609,0.9245358287239287,0.6630357081478417,0.8234966137396652,0.816136304021143,0.8883211377130604,0.5428357395940496,0.7276987012731841
AXISBANK.NS,0.518370145583437,0.4703516175059881,0.4250580478561014,0.5764492023801764,0.6837902000281754,0.768607811189635,0.5623978518742894,1.0,0.8442472413891832,0.6275892569012261,0.7325645024108003,0.6164276212341901,0.5206634692024323,0.6285937514355004,0.47812381019581224,0.6129817313547601,0.6650631422359481,0.7992854318651036,0.6729181140359363,0.5794306622875266,0.7349320149172961,0.5832660969189757,0.6762274737235446,0.5770094997638779,0.8097137704891786,0.5611657995239897,0.48431130429692104,0.4033799657264982,0.8687500080068926,0.443002259993226,0.5645624374260457,0.6516233729707985,0.7447717705200508,0.5484586575546506,0.8529224077503592,0.7045058960848409,0.5941760699840541,0.7869529393051531,0.6880200808743407,0.5964784228223091,0.6611659991026086,0.787657385091898,0.8175509298049153,0.6498240794924727,0.909896594400466,0.36950537302609376,0.5803649073746056,0.5449933835275889,0.5948914129289843,0.5195593850972922,0.8192273405433901,0.6006667330540093,0.7606933098973429,0.720416206943602,0.6919221073157611,0.35639196051062305,0.6309994999263085,0.6890076197766435,0.5883854252040677,0.4650524305822801,0.5293083338494894,0.540352574996691,0.3086528711495097,0.658992816595976,0.7743323760880145,-0.6605551411501275,0.7151643178219006,0.561158107298114,0.6380095941176772,0.5783244560507662,0.6004081316352987,0.5207845385548018,0.5191199532426494,-0.7123257192321689,0.5344597356115958,0.5878229257532611,0.595283343785448,0.5921798755515338,0.7490634574970533,0.5253550591107436,0.4846748456674342,0.561287947000442,0.6185178321807047,0.37040758092486437,0.5229533079722699,0.6499144961148505,0.3942845282913493,0.6962581290990507,0.6208052210624811,0.5340538074321026,0.5971701507487261,0.619054781681006,0.4783535082340236,0.5086219628875268,0.48257119213266125,0.38996170048910206,0.6666039210948213,0.6264105661467503,0.6103320117507703,0.5146454362701599,0.6884850776236232,0.5687061065803409,0.6901982659090036,0.47252751396747716,0.6112558728365584
BAJFINANCE.NS,0.6297282640142843,0.7111302376221861,0.5889046808007468,0.7429442284844877,0.8329958924045654,0.9133924739693411,0.8257072838689702,0.8442472413891832,1.0,0.6896851542049599,0.8297199691512624,0.7157388574790094,0.780724908661238,0.8677866383115481,0.6366794266383944,0.746124828599529,0.8310220187425582,0.9522362303783727,0.8147477396002542,0.5784656127664287,0.9080739142128822,0.8335838481638791,0.8892798655585545,0.7874256694287461,0.9009770501510306,0.6901493438428703,0.7126458933270259,0.5206541215257724,0.9276908244659038,0.6262669803593618,0.7344372731646951,0.8925135833279341,0.8811662999950461,0.5530379300033939,0.9219622856830701,0.7634894743345326,0.7208216186318843,0.865064557926748,0.8757511806557172,0.7974174627824051,0.8751805605809628,0.9273535654205388,0.9425135666369825,0.8388164068524884,0.9418538566604941,0.5915489346246517,0.805948160360438,0.784142390557514,0.7801482064123838,0.6235606514109137,0.9439048475773023,0.8202757382004675,0.9307274711785094,0.8561960002106634,0.6950587615983242,0.6504529867513903,0.8801665499415335,0.7921839203088413,0.8443028468474217,0.6758327286170323,0.7491520306360601,0.6468193203769563,0.4207060303473211,0.7316033155138801,0.9570220695997695,-0.8430610962149612,0.9035324397264037,0.6284093372712829,0.8346937381363644,0.7727532015051758,0.6673176860526605,0.7252052826926242,0.7608433607802059,-0.8006736521782765,0.7869276181564578,0.8092030882583603,0.7609427960818721,0.6706131202074532,0.8478641078446343,0.5439152573566759,0.6600593486562254,0.5650991621157853,0.8467654455495682,0.5147499342264015,0.6753497014247287,0.8980314515233635,0.568266643505207,0.8774807578404419,0.7558102102326023,0.7368030627280329,0.8621947407859122,0.843145051601598,0.5695276232161677,0.7126628784963296,0.6700389296180422,0.4923680669177441,0.9104761096005692,0.8030277616222353,0.8645327182833896,0.737362956215184,0.8578425272407384,0.7956337382983641,0.8062051749622211,0.5158920914835802,0.7848003678384528
BATAINDIA.NS,0.683319241981263,0.6329083355260167,0.6260123277489773,0.7118173196783054,0.8626135713144822,0.7684563805269711,0.7695864747610607,0.6275892569012261,0.6896851542049599,1.0,0.5734219222025576,0.8190499391201665,0.6741531047709,0.7226144678188281,0.5846898321576471,0.8465548252485899,0.8112461567496387,0.7688119480837333,0.7726295866361643,0.7172559463786713,0.7955530566954103,0.7000234435872689,0.7659514157354407,0.8797780815205529,0.7827207343609506,0.6279009806628805,0.643019171581784,0.6188649218290024,0.6633672383397112,0.5711392067425641,0.6834483982160755,0.8288530204163698,0.7052882178638176,0.7426005756691734,0.8226173042773057,0.6986250338980801,0.7568878460882862,0.6294083189889546,0.8769884086833052,0.7631313266944099,0.7639475859168161,0.6987344185963199,0.8117990712868428,0.7627197957780741,0.7087475714772988,0.39345930960773245,0.8047947992741769,0.609333624222788,0.8460727148618953,0.6343675464465579,0.728001458647116,0.5966515220756483,0.646402571295996,0.7958979878645948,0.5463389806431991,0.48687610733683495,0.7890280375296167,0.8041601543271681,0.7523785552126357,0.6273220679890212,0.5398847500987846,0.7343624310836515,0.29142342200916754,0.8962379238065367,0.7053830825744054,-0.8506979859973305,0.8029058475199591,0.5257426889506491,0.6794841733676249,0.756217027007648,0.7865235558198529,0.666865062636652,0.6150434029404425,-0.8267208725998498,0.6997451362184888,0.75013054923356,0.776916546184016,0.5779384669868928,0.8585125234418169,0.7877982510050581,0.7115248355758272,0.8125462634798866,0.7999825680632308,0.5823508517170917,0.6440827463398375,0.761066529427856,0.5397398379701626,0.8205470924624066,0.6473090572507217,0.6507790463501296,0.6864119142133971,0.7965948066429458,0.5942709031063966,0.7723266629854799,0.7345899154386847,0.592792057244881,0.8144280629509938,0.9093975999006841,0.7926973843248629,0.6875633237439205,0.8532208978701268,0.73175636055933,0.8549402807470157,0.6713556066721419,0.6481232851819587
