,AARTIIND.NS,ADANIENT.NS,ANGELONE.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CAMS.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DATAPATTNS.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAPPSTMNDS.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,PVRINOX.NS,RAILTEL.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.6306760748733244,0.8487679196732617,0.9126328441337196,0.8875299382829132,0.8726198797891769,0.8307211297987861,0.8318367642095232,0.8534691791842582,0.7812022053747719,0.827758523172188,0.7134829918561051,0.8232714027950319,0.820603194996551,0.8926230279707721,0.8899349489948808,0.8761822054892057,0.9342435629199747,0.88584710992947,0.8828309491391353,0.7801090562643064,0.7096821255634745,0.844222477391322,0.9242912602624912,0.8740567111773366,0.8448898915936223,0.8414405362339243,0.7091787248440447,0.7777694827172111,0.7735104887915206,0.8475478987638126,0.7919728960369847,0.9310128992402957,0.8190912506211147,0.6083872540724529,0.9298893862658492,0.8898969415614483,0.9125407061806989,0.8720128433664532,0.8514086916677943,0.8983734806770017,0.8499931487495043,0.798339345751612,0.8903153489186805,0.8154295686518725,0.7098722556680208,0.8621656491069261,0.7396314785290181,0.9049810442546505,0.6991480609532481,0.8051635038971233,0.5263006870139295,0.831309066789477,0.833961190497233,0.7781318571190714,0.8751150502991137,0.8849107356991541,0.7230582244074751,0.8263202192100474,0.9102065241668419,0.8333937156344735,0.8387197296155858,0.7457224843087368,0.8370017004697492,0.9215270946009484,-0.9289096172667801,0.8259143242896954,0.8736319504853283,0.8182862809895765,0.8579244326787407,0.6711518134754862,0.8862190234089076,0.9310661133517603,-0.3298166197982028,0.8843297259431596,0.8718441442338452,0.7439958788421267,0.8447681313660078,0.7242259072030315,0.7450003569074937,0.8104723913512598,0.7028436114257115,0.3780433509284128,0.8676813263033946,0.7277101755106862,0.7747356316663218,0.8523507618743493,0.8506603158395776,0.8946357902632832,0.06415661017421062,0.7972755767687633,0.844120288223946,0.9158035257589416,0.7274460114415713,0.9639051422211277,0.7273526126572558,0.5881150802415911,0.9351171922313167,0.9094658839033184,0.9031405783633113,0.8701452868930796,0.4835338437007574,0.8205209637347609,0.9280527488956908,0.9475719346692486,0.7738169137809525
ADANIENT.NS,0.6306760748733244,1.0,0.40671138119245864,0.4672351161692179,0.6136890997739928,0.4722407676725616,0.5544756434857204,0.5346518004703198,0.49233370606438787,0.6864126743490631,0.7348689988341792,0.6485595349355685,0.44938495048172883,0.5101002180540538,0.6338083665587659,0.6753521786494322,0.5598925753226285,0.5461954797822605,0.6198502425341381,0.6658162103031522,0.4603532522665084,0.36373774782547885,0.5584824953140499,0.6621062971195872,0.5075272642475691,0.6823791640403796,0.5248451987422048,0.4893632519599316,0.43866941750912375,0.39786249577149674,0.65793911445548,0.47562571055338165,0.6404235685832433,0.8180355248630665,0.36486166774807044,0.6677029373421647,0.5840786231099518,0.5152857129249034,0.6960202634494767,0.4839188519457215,0.5407309494151273,0.5148078764475781,0.5521080604573558,0.5522692454772835,0.5433173985365366,0.3404365347837389,0.6867677761784993,0.38656646393177324,0.612426492525303,0.5823047399494026,0.43934009186820605,0.173621920152435,0.44638281232208904,0.36706946736628615,0.6376637346913556,0.5828795503234177,0.62344558598752,0.35334800280475587,0.8156025875443156,0.6428921691970776,0.5072431958124508,0.6317850787382113,0.3662085674618468,0.4530920165718864,0.6151385099057691,-0.5994321309316761,0.4743459076408259,0.46257048415275565,0.49891681508281255,0.5354146497087383,0.38540627665994937,0.5477531218394026,0.6664631754482768,-0.39953204448157176,0.487907033667833,0.5210110175997963,0.34902765759904036,0.8391121438400087,0.47883017345657464,0.42889976753644643,0.4867870268103184,0.43841338584711637,0.08381461884494897,0.506644908505185,0.4603091898867703,0.5039182549438761,0.4687285956131166,0.6330426695899682,0.6305479175950076,0.09144534131832671,0.687440664165182,0.48752313927486723,0.6770985106360083,0.4216278077746749,0.6290368353190442,0.511199708734667,0.3441487121815253,0.5575447054734288,0.5263264485989103,0.6017670717076754,0.5805754460461211,0.07852721659454262,0.6162958345647759,0.674031273872941,0.6082427280665131,0.4524293863615757
ANGELONE.NS,0.8487679196732618,0.40671138119245864,1.0,0.8539434047716598,0.7875808508748391,0.8959755499980925,0.7244098093739517,0.75926475784791,0.7692433704403955,0.6314938008768228,0.6354980868241061,0.6877486296384427,0.7397830822906925,0.7470843034942033,0.7734175954307644,0.6731478895023231,0.8669472718234982,0.8631484048965196,0.6810859917569192,0.8237959919836682,0.8139922948548513,0.8553207743483862,0.7719829739272417,0.8273320042170399,0.7839054100723342,0.7576819542013572,0.7299880734931831,0.5575697295997455,0.6706937724437034,0.6660168072760642,0.7875305655465927,0.8483991413250594,0.8037008139005755,0.6509412734186192,0.3535741947169732,0.8582076763905948,0.7950244871979208,0.8383366208031813,0.7903008502915666,0.8151024606089293,0.8396233257256586,0.8469515493148947,0.6501955044969867,0.7787707491433762,0.7744275029751208,0.6507371005137276,0.7493947320502283,0.7954393200505993,0.8003208933189094,0.6419690055144762,0.7891683028776997,0.3913449255131491,0.7061068239400784,0.8908718319729672,0.7365829463999439,0.7507966212715679,0.760679070536174,0.7590313533405735,0.6959685527567635,0.79194738869259,0.7578573685223597,0.7428823625276718,0.9019365060744415,0.8150882672492091,0.7856556048342432,-0.8554093123436118,0.755433174031382,0.7973244598184533,0.7709290471347774,0.7871385020152852,0.6520049096896045,0.7922532037458454,0.8051955254047868,-0.28608344052502854,0.8249167043661626,0.7712047733618893,0.7047353185467425,0.6893780864858206,0.7025799500714832,0.6105696724937395,0.7501170062394509,0.7234885346060191,0.3106835051173727,0.804791142884595,0.8702678616541573,0.8177640949140919,0.8214328172584839,0.6719392908550716,0.8904062364989528,0.07100988819779673,0.5636529499125512,0.7154259114706981,0.8070840505416423,0.6661118837682958,0.8254211582420165,0.6780167360252505,0.6214682137364342,0.8823736697434224,0.8209002175468448,0.7824610130272319,0.8536358136641211,0.5796800778291593,0.6872417176217013,0.8440788494403032,0.7947898840431665,0.686364344083754
APOLLOTYRE.NS,0.9126328441337196,0.4672351161692179,0.8539434047716598,1.0,0.909836442338881,0.8552015914574156,0.8231733635514705,0.8726125776453315,0.9023308943213171,0.6906831557785684,0.8064592633216469,0.6851136179866255,0.8463234176283098,0.8823690714195699,0.8622974077597748,0.7368159711707947,0.8814867926035408,0.9125597699503292,0.8515846000934582,0.7786296825426282,0.7266413385905491,0.672954653393042,0.7894319723046533,0.9084503068755193,0.8817314556856753,0.8347130143948196,0.8089607231616077,0.7352941102409893,0.7232740617408212,0.771547924245057,0.8316583127358684,0.8159129881997101,0.8595654924997365,0.7317569131872752,0.3989179719112323,0.9047261575600178,0.9014138672372689,0.8883908015442686,0.844507313658623,0.8510372022816144,0.9238304678811838,0.8915319231675,0.8307725549948816,0.9004157943382721,0.7980092350427989,0.8114939777705549,0.8392052594072867,0.7358957130207022,0.9299647064471713,0.6482479819385079,0.8803894848205859,0.6152458254701753,0.8721269952501729,0.8179017890726598,0.7039306110589667,0.8256788454672793,0.8996261403835344,0.7978377436023354,0.7528362483250967,0.8649497734769014,0.8736012317198152,0.8469375280659416,0.7138810927472957,0.8579183896887349,0.9322608463774693,-0.9011397780257585,0.8000954672298266,0.8512161638236124,0.8739443697972173,0.9046670426020408,0.7287055197304322,0.8516038756219079,0.8940990882398272,-0.27292858393091496,0.8554293143848795,0.8755148054382113,0.854223052391673,0.7913902778570074,0.7580152212211881,0.7943607581827364,0.7832371292254044,0.7008890417791919,0.41208538052737137,0.939412892615645,0.6581385556594084,0.7417770310789279,0.8775860155765797,0.788219391575829,0.8859370469491864,0.07545041380355735,0.7205989095135359,0.9007345798898507,0.8851491159165317,0.7911378787329575,0.9316897530980053,0.7636708661368228,0.5762418777875645,0.9506210355345461,0.9307527490922894,0.8810059909016424,0.8788634040270982,0.5023710087355919,0.748494141251159,0.8528798296886342,0.9207211045034196,0.8087896421653495
ASHOKLEY.NS,0.8875299382829132,0.6136890997739929,0.7875808508748391,0.909836442338881,1.0,0.8288136646517164,0.9089161797950133,0.9107963286963198,0.8893421447853314,0.7769788286509174,0.8788889639958548,0.757039847552079,0.8899788813150944,0.866282977925389,0.9034130148094047,0.8266491435099647,0.93368616741411,0.9141267680203181,0.7914799007071093,0.8232885746310373,0.6936688852856494,0.6981279474011327,0.8866765509140746,0.9447562426127046,0.8814915186687418,0.8854668336043705,0.8838515901842185,0.7816755564363449,0.8480180855879164,0.7834347555989589,0.9195287553923364,0.8686012455289346,0.8721491145033533,0.8159929653769581,0.5147292740637108,0.919985524712361,0.9480438511849422,0.8973936101750095,0.917082938119563,0.9189511397729528,0.9150413719843531,0.8901503860230816,0.7734875450842408,0.9379380725939547,0.8352737522803925,0.8443765083362792,0.9228325443061645,0.6115077522219096,0.9024641275638406,0.6945667258407288,0.8889433899636291,0.47407332003589564,0.8217315694385603,0.7854415245923849,0.7648515263715049,0.8929990250837515,0.8971009841889467,0.8340409081682428,0.8331336574561523,0.9285676258016308,0.8765399791564437,0.9425159168263246,0.6856868112750056,0.8820592860202335,0.8977404513020768,-0.9571603848781093,0.7705575133906433,0.8643829834888882,0.9084761749211605,0.9089273960240928,0.7800482714635203,0.9161014438163636,0.962335534477167,-0.25550635079807715,0.8283707449692672,0.943052885139599,0.8823608054822547,0.8969891457919378,0.8402413117602736,0.8174627130090619,0.8548352464219475,0.6984039059205414,0.32809662547367585,0.9455699640474788,0.6489910667909784,0.7638137908472821,0.8729903675857574,0.8227523534801744,0.9318940606244727,0.23694983908454512,0.7412561349967857,0.9045421813440929,0.9484151969762838,0.8871361607594541,0.9393633927210938,0.8399030098565905,0.6357804606078685,0.9521259608399828,0.9312765941128981,0.8830586297746249,0.9090212875607622,0.3872147970610055,0.9143151757167265,0.8911094212847461,0.9194723357429369,0.7798401218321408
ASIANPAINT.NS,0.8726198797891769,0.4722407676725616,0.8959755499980925,0.8552015914574156,0.8288136646517164,1.0,0.7765503011291703,0.8716783507623295,0.8544764443028543,0.664094640088721,0.6812762910143563,0.6935749275230371,0.8487991336656763,0.8247332472040975,0.8429156599128297,0.682456683276261,0.9351743429712053,0.9227744009075861,0.7441975140465024,0.8643091608011083,0.858498667808504,0.7848356512111488,0.8758539569544482,0.8823206956324322,0.892713901260379,0.8046566907214926,0.884940518298933,0.6322423163267014,0.6996517488544917,0.83850812038992,0.8793929033088316,0.8123454020750022,0.8647248032394066,0.6571389764017496,0.40912264257615166,0.9153718697667167,0.8728626641776778,0.9125708915421472,0.8682636400760049,0.8665789731061224,0.9252181665439079,0.8954739937010392,0.7250045611248482,0.8442809115737613,0.7801882327849823,0.7061395593010784,0.8369194531190489,0.8408913055494701,0.905492948027849,0.657553543605416,0.8506175574243072,0.4348547158042925,0.7842895937248787,0.825732997729413,0.7141294181834738,0.895075235887799,0.8332284220859821,0.752425263298368,0.7192468111175945,0.8887506779097439,0.8821372751705615,0.7734899865626735,0.7895538621560388,0.8947621304600367,0.8634804812278466,-0.8925861766569324,0.7916273674367016,0.8051965077327335,0.9055772656112534,0.90053357295604,0.653568796493121,0.894908864966616,0.8761782152744821,-0.2255044063966617,0.9502366495917786,0.8602500620209604,0.7367127794565054,0.7861323595616988,0.7336925742822364,0.6194716810535443,0.7279012217736376,0.7175402810602435,0.3819638195873692,0.8661598230147737,0.7025334256860316,0.7686455583797709,0.8182341829924515,0.8040907994854866,0.9278232733184237,0.02021289497632913,0.606397969006203,0.7692473405139058,0.9059626382366905,0.7248420559456163,0.8757274921207095,0.7410803147256498,0.6584599560604241,0.9148129237529267,0.927478703046993,0.9016547746509418,0.9047904822545844,0.5075925419545996,0.7793517988733766,0.8372606694869416,0.8780327954687035,0.6700272123958719
AUROPHARMA.NS,0.8307211297987861,0.5544756434857204,0.7244098093739517,0.8231733635514705,0.9089161797950134,0.7765503011291702,1.0,0.871917392946654,0.8459602071591178,0.7535823195802859,0.8337644126263339,0.6675928792803397,0.8227260197350003,0.7918672957411174,0.8275477541457359,0.7558258387628698,0.8533756851372712,0.8391412409717515,0.8026776391672563,0.7385593342813541,0.6460185269323377,0.6965254498567901,0.7771596630658818,0.8998713796506861,0.8492891148561414,0.7464591377833717,0.8981658551055778,0.7169217001134114,0.7728980386077439,0.8046006992676348,0.8252925515604078,0.7164936536793362,0.8190490544767187,0.7603338778070988,0.47585875431753266,0.86450941932098,0.9220760477935104,0.8404214571095302,0.9034662457430545,0.8725665276858243,0.845738893938433,0.7602949575005584,0.7696283347429876,0.9323399490744829,0.7384318758142956,0.7718837747035558,0.8390475539648139,0.5680507352308669,0.8428738336155812,0.6445400672030493,0.8188838046178121,0.5241121113010158,0.8305947169992193,0.7070953445548818,0.6526577072887564,0.8912996536177918,0.8593164367705106,0.8344645833820161,0.7103397901727451,0.8798711404031968,0.8570787361686384,0.8697146879243596,0.6156968402902661,0.8395443209837059,0.8315780237920682,-0.8973392967513025,0.7001811939697631,0.7417548623661301,0.835883392621549,0.8266703947346462,0.7080817878202884,0.8695150035585552,0.9124469404560492,-0.21889556798775867,0.7976607841797327,0.8369945243268272,0.8119641514496152,0.8050637302066155,0.7599570630516141,0.7729589058558907,0.7531061397374731,0.6091777581868434,0.26236467591930035,0.8567236529109936,0.5576809608499782,0.6713259416456328,0.8056342928999963,0.7243550104348772,0.875324472125156,0.11476264565864397,0.7375969867327575,0.7781572149558859,0.8836223612786492,0.776374951642954,0.872699138491772,0.8111184779724618,0.740250117641278,0.8788996059705773,0.863923917160334,0.8726108444460137,0.824325636086305,0.24649333392533596,0.8885826226228305,0.8409081381973447,0.9117146883326256,0.6084062608635687
AXISBANK.NS,0.8318367642095233,0.5346518004703198,0.75926475784791,0.8726125776453315,0.9107963286963198,0.8716783507623295,0.871917392946654,1.0,0.8995650055585637,0.7147282899299998,0.8850771485554467,0.7535879013544404,0.9379918535182318,0.834545738076281,0.8439995339205125,0.7120062793308678,0.9291633439993267,0.9006921500966888,0.7497868881726716,0.7858009215906898,0.7463655548773502,0.7503539476172724,0.8554152651204474,0.8948172182529516,0.872801041877711,0.8183046445180341,0.9067555785545706,0.8855254135465053,0.7519979620321973,0.8176990873494069,0.8712192317799281,0.8263148915626892,0.8264470845000116,0.7656329577567942,0.3982821690299606,0.8739794145368943,0.9410832400804706,0.9068976655888294,0.9366403728016333,0.8761528714279334,0.8826299233036845,0.8376972397167325,0.7965860775949364,0.8984302948618327,0.8807818393965527,0.7604786229407199,0.8707100507467347,0.6710189812248348,0.8988883034924101,0.685522616580629,0.8604425370038598,0.5098666689609967,0.8315876050385226,0.7181534783530885,0.6533423944492087,0.9154409348795527,0.9028850037654174,0.7889884133879751,0.7166144283653678,0.9264137132784187,0.8898931503171407,0.8765778347800166,0.6994500289125261,0.8846097390822388,0.8659048545276412,-0.893530115626853,0.6945813903320904,0.7413505638338883,0.9081546996220617,0.9130426253549729,0.7567594375422033,0.8989715017602277,0.9082058859376073,-0.24919994765595183,0.8540982317692181,0.9160618029972579,0.831315567714276,0.8219848235307811,0.749923618645157,0.7066263205296301,0.7153496720703317,0.7080786069805344,0.2975586627377853,0.9136364077942648,0.598295201662776,0.7679388998519504,0.8233623571186535,0.8007124173654523,0.9272311834247146,0.21803099134871703,0.717989697239413,0.8337780936753361,0.9319484688330385,0.8158677187286257,0.8611152420793848,0.7916090725925616,0.6561875043957054,0.9283441778432086,0.9501779116929814,0.9018880179908094,0.9131998838235728,0.3063298962738829,0.8226002414480609,0.8220668749478504,0.9014619865305709,0.6434647960633384
BAJFINANCE.NS,0.8534691791842582,0.49233370606438787,0.7692433704403954,0.9023308943213172,0.8893421447853315,0.8544764443028543,0.8459602071591177,0.8995650055585637,1.0,0.655308767030363,0.787507606720964,0.7875226559947925,0.9259200418295215,0.8527922280471555,0.873436649316421,0.6861173187827041,0.9209201779587791,0.9006559470856869,0.8413075648221285,0.7622258060724924,0.6929337178238678,0.680878626270842,0.8354210848824124,0.8920823186094056,0.8726819815477364,0.8248939498488246,0.892396784041919,0.764101455036931,0.7190618912238937,0.8296809239509425,0.8456565220946518,0.7681256795183594,0.8442658593590108,0.6660850058299013,0.46187184630138856,0.8635741405146402,0.9079906374768527,0.8711331754345417,0.8396276381482574,0.88228978573086,0.9083118809747108,0.8761944097639186,0.8873225930320292,0.889670442539479,0.8388680995057869,0.7671649986687062,0.8642695219668968,0.6362425138614705,0.9465402484027533,0.7796267836467876,0.8484578114487215,0.6817040671347149,0.9162544867613158,0.7404039296378532,0.6261136000793789,0.8418641098153543,0.9431789387451719,0.7869958809776728,0.7431846887455569,0.8638480070472113,0.9384030587992844,0.8009778838663316,0.6882766157910329,0.8463594505801209,0.92036565816109,-0.8906030047511597,0.7326109638914196,0.8062612813977578,0.8966444767197146,0.9163068824236298,0.6758498775914047,0.847699838897004,0.9096005472136299,-0.2602484961853606,0.8453879479918546,0.870812788518642,0.8333867743463771,0.8083930551873766,0.757958974417577,0.7725787204593186,0.6806241500366526,0.7984178987127771,0.4822633759149703,0.9086648532042765,0.6068709525237022,0.7968666933582882,0.8217664762297884,0.8299487257073581,0.8878017377306072,0.08246516046224776,0.7642041759043392,0.8449713961869031,0.914382381033646,0.7474374352180742,0.8986857099515011,0.8519514757101772,0.6538652129117282,0.922595827686884,0.9231319102744849,0.9045530911396359,0.8721968055881025,0.37922459970126476,0.8137072394990578,0.8307276284591356,0.921402889488859,0.7020373755380518
BATAINDIA.NS,0.7812022053747719,0.686412674349063,0.6314938008768228,0.6906831557785684,0.7769788286509173,0.664094640088721,0.7535823195802859,0.7147282899299998,0.6553087670303629,1.0,0.7172884537643799,0.7467055087046209,0.6784163669155128,0.6806921534657159,0.7503167436852596,0.8198001930275988,0.7282680662898111,0.7368036672473909,0.7612402844781185,0.788483183720501,0.6092169868556883,0.6166305861179635,0.7372650793627665,0.7550547500609389,0.6549178343977625,0.7028282718067796,0.7271076304590778,0.6694567874561852,0.6977310777976409,0.5569650002356042,0.7926490086289514,0.6737984158730705,0.8271188713080868,0.8851339898102304,0.5124899871104582,0.7746072629251146,0.756968467500324,0.7526756652565786,0.8038152414459276,0.6719752370328381,0.6926302549365672,0.6560539774757854,0.5543930594528772,0.6983896918529789,0.721242960705194,0.5393314462033901,0.8027003771898903,0.578080303374624,0.7454505759150911,0.5686052624626087,0.5700264222989565,0.26636264078829314,0.5832269495314075,0.5988697652460977,0.7865062535443204,0.7283579550994488,0.7151255872581838,0.5536620930310505,0.7512039095315619,0.804100158830387,0.6389507130107704,0.7828674061976089,0.6266814273416424,0.6645964997774866,0.7272903102010382,-0.7951467400102787,0.7373124202326895,0.6763018580460758,0.6632325472127318,0.6428141727606984,0.5978424430645221,0.765184936699846,0.8030114869692948,-0.3066194237938902,0.6795633009820526,0.6945755467136023,0.5396268879295221,0.7736440498665353,0.7817367989491453,0.5220667931066574,0.5610166945926456,0.5666629069545601,0.2534013728180349,0.6886559654593402,0.5685566441190596,0.6881832786255395,0.64611325456669,0.7450590519294175,0.7923847195920236,0.2860679750970868,0.5886285394485591,0.6847510293613244,0.8079288558011253,0.6122745824645155,0.7986311766342242,0.6526409076103215,0.4725156086610815,0.7653184655944452,0.7268937434132472,0.7034328965271524,0.7337386488028369,0.2455873015295916,0.7408292539019866,0.8755472380766146,0.7836392370773676,0.5513542854997415
