kdcode,dt
AARTIIND.NS,2023-02-02
ADANIENT.NS,2023-02-02
APOLLOTYRE.NS,2023-02-02
ASHOKLEY.NS,2023-02-02
ASIANPAINT.NS,2023-02-02
AUROPHARMA.NS,2023-02-02
AXISBANK.NS,2023-02-02
BAJFINANCE.NS,2023-02-02
BATAINDIA.NS,2023-02-02
BDL.NS,2023-02-02
BEML.NS,2023-02-02
BHARATFORG.NS,2023-02-02
BHARTIARTL.NS,2023-02-02
BHEL.NS,2023-02-02
BIOCON.NS,2023-02-02
BPCL.NS,2023-02-02
BRITANNIA.NS,2023-02-02
BSOFT.NS,2023-02-02
CDSL.NS,2023-02-02
CESC.NS,2023-02-02
CIPLA.NS,2023-02-02
COALINDIA.NS,2023-02-02
COFORGE.NS,2023-02-02
CONCOR.NS,2023-02-02
CUMMINSIND.NS,2023-02-02
DIXON.NS,2023-02-02
DRREDDY.NS,2023-02-02
EICHERMOT.NS,2023-02-02
GODREJPROP.NS,2023-02-02
GOLDBEES.NS,2023-02-02
GRSE.NS,2023-02-02
HAVELLS.NS,2023-02-02
HCLTECH.NS,2023-02-02
HDFCAMC.NS,2023-02-02
HDFCBANK.NS,2023-02-02
HEROMOTOCO.NS,2023-02-02
HINDALCO.NS,2023-02-02
HINDUNILVR.NS,2023-02-02
ICICIBANK.NS,2023-02-02
IDFCFIRSTB.NS,2023-02-02
IEX.NS,2023-02-02
IIFL.NS,2023-02-02
INDIGO.NS,2023-02-02
INDUSTOWER.NS,2023-02-02
INFY.NS,2023-02-02
IRCON.NS,2023-02-02
ITC.NS,2023-02-02
JSWSTEEL.NS,2023-02-02
KOTAKBANK.NS,2023-02-02
LALPATHLAB.NS,2023-02-02
LAURUSLABS.NS,2023-02-02
LUPIN.NS,2023-02-02
M&M.NS,2023-02-02
MANAPPURAM.NS,2023-02-02
MARICO.NS,2023-02-02
MARUTI.NS,2023-02-02
MCX.NS,2023-02-02
MON100.NS,2023-02-02
MPHASIS.NS,2023-02-02
MRF.NS,2023-02-02
MUTHOOTFIN.NS,2023-02-02
NAVINFLUOR.NS,2023-02-02
NESTLEIND.NS,2023-02-02
NIFTYBEES.NS,2023-02-02
OBEROIRLTY.NS,2023-02-02
OIL.NS,2023-02-02
ONGC.NS,2023-02-02
PAGEIND.NS,2023-02-02
PERSISTENT.NS,2023-02-02
PIDILITIND.NS,2023-02-02
PIIND.NS,2023-02-02
POLYCAB.NS,2023-02-02
POONAWALLA.NS,2023-02-02
PRESTIGE.NS,2023-02-02
RAYMOND.NS,2023-02-02
RELIANCE.NS,2023-02-02
RITES.NS,2023-02-02
RVNL.NS,2023-02-02
SAIL.NS,2023-02-02
SBIN.NS,2023-02-02
SHREECEM.NS,2023-02-02
SIEMENS.NS,2023-02-02
SRF.NS,2023-02-02
SUNPHARMA.NS,2023-02-02
SUZLON.NS,2023-02-02
TATACHEM.NS,2023-02-02
TATACOMM.NS,2023-02-02
TATAELXSI.NS,2023-02-02
TATASTEEL.NS,2023-02-02
TCS.NS,2023-02-02
TECHM.NS,2023-02-02
TITAN.NS,2023-02-02
TRIDENT.NS,2023-02-02
TVSMOTOR.NS,2023-02-02
VOLTAS.NS,2023-02-02
WIPRO.NS,2023-02-02
ZENSARTECH.NS,2023-02-02
